id_plot,radius,X1,h_2.5,h_3.5,h_4.5,h_5.5,h_6.5,h_7.5,h_8.5,h_9.5,h_10.5,h_11.5,h_12.5,h_13.5,h_14.5,h_15.5,h_16.5,h_17.5,h_18.5,h_19.5,h_20.5,h_21.5,h_22.5,h_23.5,h_24.5,h_25.5,h_26.5,h_27.5,h_28.5,h_29.5,h_30.5,h_31.5,h_32.5,h_33.5,h_34.5,h_35.5,h_36.5,h_37.5,h_38.5,
41_01,25,0.030717759063413,0.0534554029030018,0.0642959545808574,0.0828139914039667,0.123938088479956,0.164993945147297,0.173617159899543,0.186169023737568,0.146674075799381,0.124588457660886,0.103015243966644,0.106211601832522,0.133223677672316,0.203570955242195,0.296035082173742,0.37413455075619,0.319347285598046,0.258620240540121,0.158857708983927,0.0726427300299968,0.0192554492483364,0.00151204240920498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUM(
41_02,25,0.165986239679218,0.205010238122844,0.256671758242322,0.229749889055098,0.220192261134574,0.217561814863212,0.200817018811229,0.237704886141094,0.293161519191455,0.394671272032254,0.419110148941371,0.304792397637977,0.144628733156169,0.0380684853769235,0.00844450622674469,0.000342519606192411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41_03,25,0.163906301274541,0.155780129927224,0.14741397001236,0.16236453177512,0.167093411354108,0.174759620357265,0.177435416630506,0.156157004417298,0.128037593137325,0.118935583912015,0.15333305181389,0.136570263411335,0.130566013152883,0.11310469256978,0.154408168068792,0.134857125247715,0.111470534600858,0.11779410712434,0.157415965743036,0.179961716328107,0.216584389002115,0.256261547357127,0.296463861271821,0.285534337677812,0.267970718020357,0.223602705749382,0.136193329881984,0.0529526460770924,0.0113903722155681,0.000165368797317329,6.61446749403614e-06,6.61444561857341e-06,1.32288256109684e-05,0,0,0,0,0,
41_04,25,0.163958704702638,0.171767794425379,0.181261388230021,0.172804624008734,0.215201281888723,0.267407694445216,0.214677359071996,0.233940357248908,0.197964956442737,0.19464484549835,0.186332243976401,0.161788917493495,0.147254168790596,0.156795685886357,0.135634417728202,0.124454026490012,0.159328932195294,0.145310928553834,0.14292932060009,0.0944571314569031,0.100996650148607,0.114694767774074,0.138997192022989,0.136883300206896,0.160009903478339,0.179432773643253,0.225763833609835,0.250549566278437,0.30351374404448,0.380362325395064,0.360391321795516,0.244516588179872,0.11731114538701,0.029462449689359,0.00130245351691386,4.13342275300398e-06,4.13341421048628e-06,0,
41_05,25,0.243479287887275,0.230702753011363,0.182093166303729,0.187705032189981,0.168700383649776,0.171365820242021,0.165535100913512,0.203310277255546,0.170987107991314,0.154104929060421,0.131929725350971,0.131283268804622,0.127351141551304,0.0985221319100732,0.0834958439912433,0.0836658703918511,0.0738757002718819,0.103542980639375,0.102657412235548,0.0962403602312591,0.104727870315273,0.127077926913458,0.149432735020735,0.183916706309547,0.205606200327524,0.23283044131236,0.247227625326198,0.300847301686173,0.257412941071281,0.159718452114143,0.0933943774781927,0.0224781484894753,0.00920253063509357,0.00114288166427791,0,0,0,0,
41_07,25,0.637835509295969,0.516774122996895,0.356317588562869,0.230280452112072,0.0948822071805741,0.0263578816468237,0.00619413944984345,0.000893125524739474,7.72709613677246e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41_08,25,0.501543023523729,0.482480760554308,0.373983168094816,0.373935010600266,0.334597494219986,0.246744312897796,0.211713604759872,0.146512187915635,0.12530943071148,0.128543315992337,0.0786966486903304,0.0977904987439267,0.107591277995581,0.0813260749789587,0.0919571928717945,0.0735999992650251,0.103063719453613,0.123336210713998,0.12123872657025,0.176824179906266,0.173676145764419,0.203519832297462,0.240873986401874,0.286351833917826,0.31387724553648,0.281769740663696,0.125477951260347,0.0144119413822166,0.000101762181803051,5.65330273006597e-06,0,0,0,0,0,0,0,0,
41_09,25,0.130816159236195,0.106860261313,0.105936357459191,0.127721034152974,0.138200834733791,0.116261845261573,0.121965352509529,0.114489564767339,0.128729280027722,0.132639344656702,0.115745294266744,0.131185084276691,0.128884752231685,0.15817976506556,0.166775678251519,0.173998871528681,0.149447792947817,0.158791016079781,0.180349214987248,0.182086694505482,0.158185018940141,0.172212244702177,0.16692034369314,0.186407280622796,0.197664103595639,0.169458947274169,0.184833399818913,0.220332791362638,0.246444391914973,0.261619852344387,0.280323212672998,0.283739241306597,0.213939282353059,0.117055212862229,0.0462320700419887,0.00881424664491036,0.000106954991420381,0,
41_10,25,0.0840326666894531,0.145731573190758,0.124464874782346,0.156102407781514,0.17595694556891,0.216444479602611,0.190780079603062,0.221004338688681,0.21756860818806,0.23299421069938,0.238057662515791,0.259666375671636,0.271251790167491,0.25476069945253,0.267944440711489,0.246804104769347,0.269730960707594,0.196282337187774,0.195008098797076,0.161282821003994,0.117262939843676,0.0957251502425338,0.0968897104075675,0.0927481624520613,0.103187109601684,0.131080099817851,0.163615376062244,0.197297155398312,0.24675712458987,0.253210582036192,0.262203078987926,0.219857175667063,0.134444323916297,0.0616780036833578,0.0205792568080813,0.00131395191873495,0,0,
41_11,25,0.186889240219576,0.183449424894999,0.15895398356977,0.114576066813404,0.103865840583511,0.120166725252154,0.138820669862594,0.153033526601369,0.112579697135484,0.101996446011984,0.128768231233799,0.133534551473932,0.143823759447696,0.168825844096072,0.147032716888889,0.16564239445363,0.183862242013085,0.145268281993868,0.144242772581654,0.124990173176251,0.14540548327874,0.167989427168289,0.178440486166479,0.147515705051881,0.155059846596105,0.166936735263675,0.155543005074225,0.194597609969387,0.22178058470069,0.280580398364787,0.302165959137397,0.278996239471294,0.203574835760499,0.10233070084044,0.0461519251031161,0.00662473184411819,0,0,
