mon,slope,version,plab,scenario,family,variant
Sep,1.06951380391129,v3.2.0,P1  (LAI=0.5),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Oct,1.01781612468169,v3.2.0,P1  (LAI=0.5),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Apr,1.09353325979522,v3.2.0,P1  (LAI=0.5),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
May,1.12641240183469,v3.2.0,P1  (LAI=0.5),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Jun,1.13244614346966,v3.2.0,P1  (LAI=0.5),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Jul,1.13973607257206,v3.2.0,P1  (LAI=0.5),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Aug,1.14247229870715,v3.2.0,P1  (LAI=0.5),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Sep,1.07106474686455,v3.2.0,P1  (LAI=0.5),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Oct,1.00993840847554,v3.2.0,P1  (LAI=0.5),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Apr,1.11891471838581,v3.2.0,P2  (LAI=3.4),STATIC_ALS,LiDAR,full
May,0.953811824915148,v3.2.0,P2  (LAI=3.4),STATIC_ALS,LiDAR,full
Jun,0.954008703669844,v3.2.0,P2  (LAI=3.4),STATIC_ALS,LiDAR,full
Jul,0.960677376138328,v3.2.0,P2  (LAI=3.4),STATIC_ALS,LiDAR,full
Aug,0.956402041815976,v3.2.0,P2  (LAI=3.4),STATIC_ALS,LiDAR,full
Sep,0.929391034300516,v3.2.0,P2  (LAI=3.4),STATIC_ALS,LiDAR,full
Oct,0.909251578103597,v3.2.0,P2  (LAI=3.4),STATIC_ALS,LiDAR,full
Apr,1.12285481522864,v3.2.0,P2  (LAI=3.4),STATIC_ALS_DOPT,LiDAR,d_opt
May,1.01823868702504,v3.2.0,P2  (LAI=3.4),STATIC_ALS_DOPT,LiDAR,d_opt
Jun,1.00091821527121,v3.2.0,P2  (LAI=3.4),STATIC_ALS_DOPT,LiDAR,d_opt
Jul,1.02578560316266,v3.2.0,P2  (LAI=3.4),STATIC_ALS_DOPT,LiDAR,d_opt
Aug,1.01337007510049,v3.2.0,P2  (LAI=3.4),STATIC_ALS_DOPT,LiDAR,d_opt
Sep,0.972105599163228,v3.2.0,P2  (LAI=3.4),STATIC_ALS_DOPT,LiDAR,d_opt
Oct,0.95684672532072,v3.2.0,P2  (LAI=3.4),STATIC_ALS_DOPT,LiDAR,d_opt
