mon,slope,version,plab,scenario,family,variant
Aug,0.978342747585226,v3.2.3 iter,P1  (LAI=0.5),STATIC_ALS,LiDAR,full
Sep,0.980277850742516,v3.2.3 iter,P1  (LAI=0.5),STATIC_ALS,LiDAR,full
Oct,0.967342894883228,v3.2.3 iter,P1  (LAI=0.5),STATIC_ALS,LiDAR,full
Apr,0.982892977219206,v3.2.3 iter,P1  (LAI=0.5),STATIC_ALS_DOPT,LiDAR,d_opt
May,0.982191811797203,v3.2.3 iter,P1  (LAI=0.5),STATIC_ALS_DOPT,LiDAR,d_opt
Jun,0.981397963259574,v3.2.3 iter,P1  (LAI=0.5),STATIC_ALS_DOPT,LiDAR,d_opt
Jul,0.979945509612992,v3.2.3 iter,P1  (LAI=0.5),STATIC_ALS_DOPT,LiDAR,d_opt
Aug,0.978342747585226,v3.2.3 iter,P1  (LAI=0.5),STATIC_ALS_DOPT,LiDAR,d_opt
Sep,0.980277850742516,v3.2.3 iter,P1  (LAI=0.5),STATIC_ALS_DOPT,LiDAR,d_opt
Oct,0.967342894883228,v3.2.3 iter,P1  (LAI=0.5),STATIC_ALS_DOPT,LiDAR,d_opt
Apr,0.988836546124651,v3.2.3 iter,P1  (LAI=0.5),DYN_S2_ATBD_NM,Sentinel-2,ATBD
May,0.989538185411168,v3.2.3 iter,P1  (LAI=0.5),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Jun,0.999397511486016,v3.2.3 iter,P1  (LAI=0.5),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Jul,0.992057497899602,v3.2.3 iter,P1  (LAI=0.5),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Aug,0.992795707126578,v3.2.3 iter,P1  (LAI=0.5),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Sep,0.984679422098399,v3.2.3 iter,P1  (LAI=0.5),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Oct,0.968829401434275,v3.2.3 iter,P1  (LAI=0.5),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Apr,0.988257312392799,v3.2.3 iter,P1  (LAI=0.5),DYN_S2_OPT_NM,Sentinel-2,opt
May,0.988853754892222,v3.2.3 iter,P1  (LAI=0.5),DYN_S2_OPT_NM,Sentinel-2,opt
Jun,0.998166081830452,v3.2.3 iter,P1  (LAI=0.5),DYN_S2_OPT_NM,Sentinel-2,opt
Jul,0.991269643094682,v3.2.3 iter,P1  (LAI=0.5),DYN_S2_OPT_NM,Sentinel-2,opt
Aug,0.991686837293179,v3.2.3 iter,P1  (LAI=0.5),DYN_S2_OPT_NM,Sentinel-2,opt
Sep,0.984734039319143,v3.2.3 iter,P1  (LAI=0.5),DYN_S2_OPT_NM,Sentinel-2,opt
Oct,0.968582672116394,v3.2.3 iter,P1  (LAI=0.5),DYN_S2_OPT_NM,Sentinel-2,opt
Apr,0.987579190016507,v3.2.3 iter,P1  (LAI=0.5),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
May,0.987876005128813,v3.2.3 iter,P1  (LAI=0.5),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Jun,0.996729222557588,v3.2.3 iter,P1  (LAI=0.5),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Jul,0.99036462869121,v3.2.3 iter,P1  (LAI=0.5),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Aug,0.990071137777615,v3.2.3 iter,P1  (LAI=0.5),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Sep,0.984445384813624,v3.2.3 iter,P1  (LAI=0.5),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Oct,0.968655329699612,v3.2.3 iter,P1  (LAI=0.5),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Apr,0.984386570262987,v3.2.3 iter,P1  (LAI=0.5),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
May,0.984200212410257,v3.2.3 iter,P1  (LAI=0.5),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Jun,0.986842694321412,v3.2.3 iter,P1  (LAI=0.5),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Jul,0.983711464048237,v3.2.3 iter,P1  (LAI=0.5),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Aug,0.981083189268789,v3.2.3 iter,P1  (LAI=0.5),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Sep,0.980305640633097,v3.2.3 iter,P1  (LAI=0.5),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Oct,0.967507562044192,v3.2.3 iter,P1  (LAI=0.5),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Apr,0.982723649138955,v3.2.3 iter,P1  (LAI=0.5),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
May,0.982071807140547,v3.2.3 iter,P1  (LAI=0.5),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Jun,0.981543402386628,v3.2.3 iter,P1  (LAI=0.5),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Jul,0.980533126909474,v3.2.3 iter,P1  (LAI=0.5),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Aug,0.978009515508113,v3.2.3 iter,P1  (LAI=0.5),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Sep,0.980112171707245,v3.2.3 iter,P1  (LAI=0.5),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Oct,0.968074772853983,v3.2.3 iter,P1  (LAI=0.5),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Apr,0.982816914524989,v3.2.3 iter,P1  (LAI=0.5),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
May,0.982193966765593,v3.2.3 iter,P1  (LAI=0.5),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Jun,0.981769976289887,v3.2.3 iter,P1  (LAI=0.5),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Jul,0.980241768549402,v3.2.3 iter,P1  (LAI=0.5),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Aug,0.978123441282057,v3.2.3 iter,P1  (LAI=0.5),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Sep,0.980173323810271,v3.2.3 iter,P1  (LAI=0.5),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Oct,0.967420755483664,v3.2.3 iter,P1  (LAI=0.5),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Apr,0.98277011519685,v3.2.3 iter,P2  (LAI=3.4),STATIC_ALS,LiDAR,full
May,0.950403936012716,v3.2.3 iter,P2  (LAI=3.4),STATIC_ALS,LiDAR,full
Jun,0.929034777162981,v3.2.3 iter,P2  (LAI=3.4),STATIC_ALS,LiDAR,full
Jul,0.933389760892176,v3.2.3 iter,P2  (LAI=3.4),STATIC_ALS,LiDAR,full
Aug,0.926706576294608,v3.2.3 iter,P2  (LAI=3.4),STATIC_ALS,LiDAR,full
Sep,0.892688127202488,v3.2.3 iter,P2  (LAI=3.4),STATIC_ALS,LiDAR,full
Oct,0.908191344936146,v3.2.3 iter,P2  (LAI=3.4),STATIC_ALS,LiDAR,full
Apr,0.98218699586273,v3.2.3 iter,P2  (LAI=3.4),STATIC_ALS_DOPT,LiDAR,d_opt
May,0.985239401741857,v3.2.3 iter,P2  (LAI=3.4),STATIC_ALS_DOPT,LiDAR,d_opt
Jun,0.978546095743369,v3.2.3 iter,P2  (LAI=3.4),STATIC_ALS_DOPT,LiDAR,d_opt
Jul,0.978536141496789,v3.2.3 iter,P2  (LAI=3.4),STATIC_ALS_DOPT,LiDAR,d_opt
Aug,0.974967971933085,v3.2.3 iter,P2  (LAI=3.4),STATIC_ALS_DOPT,LiDAR,d_opt
Sep,0.966707867207375,v3.2.3 iter,P2  (LAI=3.4),STATIC_ALS_DOPT,LiDAR,d_opt
Oct,0.95893052092296,v3.2.3 iter,P2  (LAI=3.4),STATIC_ALS_DOPT,LiDAR,d_opt
Apr,0.979765712930648,v3.2.3 iter,P2  (LAI=3.4),DYN_S2_ATBD_NM,Sentinel-2,ATBD
May,0.929324815554475,v3.2.3 iter,P2  (LAI=3.4),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Jun,0.893962737721608,v3.2.3 iter,P2  (LAI=3.4),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Jul,0.920433028324331,v3.2.3 iter,P2  (LAI=3.4),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Aug,0.913062066185149,v3.2.3 iter,P2  (LAI=3.4),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Sep,0.889697294427759,v3.2.3 iter,P2  (LAI=3.4),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Oct,0.887088694673206,v3.2.3 iter,P2  (LAI=3.4),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Apr,0.981215004742897,v3.2.3 iter,P2  (LAI=3.4),DYN_S2_OPT_NM,Sentinel-2,opt
May,0.940387686989708,v3.2.3 iter,P2  (LAI=3.4),DYN_S2_OPT_NM,Sentinel-2,opt
Jun,0.906712578817981,v3.2.3 iter,P2  (LAI=3.4),DYN_S2_OPT_NM,Sentinel-2,opt
Jul,0.929783933172537,v3.2.3 iter,P2  (LAI=3.4),DYN_S2_OPT_NM,Sentinel-2,opt
Aug,0.923949110248054,v3.2.3 iter,P2  (LAI=3.4),DYN_S2_OPT_NM,Sentinel-2,opt
Sep,0.901421335297722,v3.2.3 iter,P2  (LAI=3.4),DYN_S2_OPT_NM,Sentinel-2,opt
Oct,0.899888841221771,v3.2.3 iter,P2  (LAI=3.4),DYN_S2_OPT_NM,Sentinel-2,opt
Apr,0.984489802821352,v3.2.3 iter,P2  (LAI=3.4),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
May,0.956462417635948,v3.2.3 iter,P2  (LAI=3.4),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Jun,0.927164757375816,v3.2.3 iter,P2  (LAI=3.4),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Jul,0.942441738170076,v3.2.3 iter,P2  (LAI=3.4),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Aug,0.940487842544615,v3.2.3 iter,P2  (LAI=3.4),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Sep,0.9201136967945,v3.2.3 iter,P2  (LAI=3.4),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Oct,0.917099788311952,v3.2.3 iter,P2  (LAI=3.4),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Apr,0.983405784603781,v3.2.3 iter,P2  (LAI=3.4),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
May,0.985175836112091,v3.2.3 iter,P2  (LAI=3.4),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Jun,0.976005333412983,v3.2.3 iter,P2  (LAI=3.4),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Jul,0.979353459632987,v3.2.3 iter,P2  (LAI=3.4),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Aug,0.977164627324761,v3.2.3 iter,P2  (LAI=3.4),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Sep,0.973882960910396,v3.2.3 iter,P2  (LAI=3.4),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Oct,0.960992354841135,v3.2.3 iter,P2  (LAI=3.4),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Apr,0.98493396054064,v3.2.3 iter,P2  (LAI=3.4),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
May,0.961904956546059,v3.2.3 iter,P2  (LAI=3.4),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Jun,0.933883584787186,v3.2.3 iter,P2  (LAI=3.4),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Jul,0.947240839558661,v3.2.3 iter,P2  (LAI=3.4),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Aug,0.946792424081256,v3.2.3 iter,P2  (LAI=3.4),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Sep,0.927812120749233,v3.2.3 iter,P2  (LAI=3.4),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Oct,0.925040143548841,v3.2.3 iter,P2  (LAI=3.4),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Apr,0.984262683172441,v3.2.3 iter,P2  (LAI=3.4),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
May,0.955199169371829,v3.2.3 iter,P2  (LAI=3.4),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Jun,0.925139273420754,v3.2.3 iter,P2  (LAI=3.4),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Jul,0.941351679152532,v3.2.3 iter,P2  (LAI=3.4),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Aug,0.939317358818516,v3.2.3 iter,P2  (LAI=3.4),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Sep,0.918211489952607,v3.2.3 iter,P2  (LAI=3.4),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Oct,0.916089992188692,v3.2.3 iter,P2  (LAI=3.4),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Apr,0.983493482255082,v3.2.3 iter,P3  (LAI=4.7),STATIC_ALS,LiDAR,full
May,0.904847197287621,v3.2.3 iter,P3  (LAI=4.7),STATIC_ALS,LiDAR,full
Jun,0.88319198659033,v3.2.3 iter,P3  (LAI=4.7),STATIC_ALS,LiDAR,full
Jul,0.88837952974769,v3.2.3 iter,P3  (LAI=4.7),STATIC_ALS,LiDAR,full
Aug,0.870947038046738,v3.2.3 iter,P3  (LAI=4.7),STATIC_ALS,LiDAR,full
Sep,0.830107859378012,v3.2.3 iter,P3  (LAI=4.7),STATIC_ALS,LiDAR,full
Oct,0.857355613130125,v3.2.3 iter,P3  (LAI=4.7),STATIC_ALS,LiDAR,full
Apr,0.981835121472798,v3.2.3 iter,P3  (LAI=4.7),STATIC_ALS_DOPT,LiDAR,d_opt
May,0.986800334138689,v3.2.3 iter,P3  (LAI=4.7),STATIC_ALS_DOPT,LiDAR,d_opt
Jun,0.98130976483743,v3.2.3 iter,P3  (LAI=4.7),STATIC_ALS_DOPT,LiDAR,d_opt
Jul,0.979060546656957,v3.2.3 iter,P3  (LAI=4.7),STATIC_ALS_DOPT,LiDAR,d_opt
Aug,0.97455099264677,v3.2.3 iter,P3  (LAI=4.7),STATIC_ALS_DOPT,LiDAR,d_opt
Sep,0.965105265672321,v3.2.3 iter,P3  (LAI=4.7),STATIC_ALS_DOPT,LiDAR,d_opt
Oct,0.958153644860029,v3.2.3 iter,P3  (LAI=4.7),STATIC_ALS_DOPT,LiDAR,d_opt
Apr,0.979045061689779,v3.2.3 iter,P3  (LAI=4.7),DYN_S2_ATBD_NM,Sentinel-2,ATBD
May,0.917569600663555,v3.2.3 iter,P3  (LAI=4.7),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Jun,0.881271353598586,v3.2.3 iter,P3  (LAI=4.7),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Jul,0.909590153150924,v3.2.3 iter,P3  (LAI=4.7),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Aug,0.903899454603472,v3.2.3 iter,P3  (LAI=4.7),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Sep,0.879535604399039,v3.2.3 iter,P3  (LAI=4.7),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Oct,0.877250748292651,v3.2.3 iter,P3  (LAI=4.7),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Apr,0.982180233843258,v3.2.3 iter,P3  (LAI=4.7),DYN_S2_OPT_NM,Sentinel-2,opt
May,0.931652335666291,v3.2.3 iter,P3  (LAI=4.7),DYN_S2_OPT_NM,Sentinel-2,opt
Jun,0.898370777452644,v3.2.3 iter,P3  (LAI=4.7),DYN_S2_OPT_NM,Sentinel-2,opt
Jul,0.921048763032181,v3.2.3 iter,P3  (LAI=4.7),DYN_S2_OPT_NM,Sentinel-2,opt
Aug,0.917684202543808,v3.2.3 iter,P3  (LAI=4.7),DYN_S2_OPT_NM,Sentinel-2,opt
Sep,0.893957098071129,v3.2.3 iter,P3  (LAI=4.7),DYN_S2_OPT_NM,Sentinel-2,opt
Oct,0.891498488040027,v3.2.3 iter,P3  (LAI=4.7),DYN_S2_OPT_NM,Sentinel-2,opt
Apr,0.98484233779846,v3.2.3 iter,P3  (LAI=4.7),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
May,0.950311168843387,v3.2.3 iter,P3  (LAI=4.7),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Jun,0.917451813597703,v3.2.3 iter,P3  (LAI=4.7),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Jul,0.934882038715842,v3.2.3 iter,P3  (LAI=4.7),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Aug,0.933316733830907,v3.2.3 iter,P3  (LAI=4.7),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Sep,0.91380364813404,v3.2.3 iter,P3  (LAI=4.7),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Oct,0.910888657215474,v3.2.3 iter,P3  (LAI=4.7),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Apr,0.984319431294228,v3.2.3 iter,P3  (LAI=4.7),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
May,0.986371478189623,v3.2.3 iter,P3  (LAI=4.7),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Jun,0.978788837919505,v3.2.3 iter,P3  (LAI=4.7),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Jul,0.979680581327426,v3.2.3 iter,P3  (LAI=4.7),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Aug,0.977400386240412,v3.2.3 iter,P3  (LAI=4.7),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Sep,0.973089328188331,v3.2.3 iter,P3  (LAI=4.7),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Oct,0.959376549432837,v3.2.3 iter,P3  (LAI=4.7),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Apr,0.978720173638176,v3.2.3 iter,P3  (LAI=4.7),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
May,0.917061309817988,v3.2.3 iter,P3  (LAI=4.7),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Jun,0.880442620912361,v3.2.3 iter,P3  (LAI=4.7),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Jul,0.909292427080895,v3.2.3 iter,P3  (LAI=4.7),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Aug,0.903346889868507,v3.2.3 iter,P3  (LAI=4.7),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Sep,0.878518753140397,v3.2.3 iter,P3  (LAI=4.7),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Oct,0.876721793964509,v3.2.3 iter,P3  (LAI=4.7),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Apr,0.975493473560451,v3.2.3 iter,P3  (LAI=4.7),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
May,0.900134466798337,v3.2.3 iter,P3  (LAI=4.7),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Jun,0.857330951491146,v3.2.3 iter,P3  (LAI=4.7),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Jul,0.895191295927503,v3.2.3 iter,P3  (LAI=4.7),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Aug,0.88661362612235,v3.2.3 iter,P3  (LAI=4.7),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Sep,0.861617239460492,v3.2.3 iter,P3  (LAI=4.7),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Oct,0.861174298726158,v3.2.3 iter,P3  (LAI=4.7),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Apr,0.982853506522813,v3.2.3 iter,P4  (LAI=5.7),STATIC_ALS,LiDAR,full
May,0.920262518834506,v3.2.3 iter,P4  (LAI=5.7),STATIC_ALS,LiDAR,full
Jun,0.898867377269699,v3.2.3 iter,P4  (LAI=5.7),STATIC_ALS,LiDAR,full
Jul,0.909150613545505,v3.2.3 iter,P4  (LAI=5.7),STATIC_ALS,LiDAR,full
Aug,0.888484045105431,v3.2.3 iter,P4  (LAI=5.7),STATIC_ALS,LiDAR,full
Sep,0.843071419541234,v3.2.3 iter,P4  (LAI=5.7),STATIC_ALS,LiDAR,full
Oct,0.878099814196406,v3.2.3 iter,P4  (LAI=5.7),STATIC_ALS,LiDAR,full
Apr,0.981817347411275,v3.2.3 iter,P4  (LAI=5.7),STATIC_ALS_DOPT,LiDAR,d_opt
May,0.984138453436497,v3.2.3 iter,P4  (LAI=5.7),STATIC_ALS_DOPT,LiDAR,d_opt
Jun,0.98049549080946,v3.2.3 iter,P4  (LAI=5.7),STATIC_ALS_DOPT,LiDAR,d_opt
Jul,0.979560398752536,v3.2.3 iter,P4  (LAI=5.7),STATIC_ALS_DOPT,LiDAR,d_opt
Aug,0.977804921986049,v3.2.3 iter,P4  (LAI=5.7),STATIC_ALS_DOPT,LiDAR,d_opt
Sep,0.972139911670823,v3.2.3 iter,P4  (LAI=5.7),STATIC_ALS_DOPT,LiDAR,d_opt
Oct,0.96277066970845,v3.2.3 iter,P4  (LAI=5.7),STATIC_ALS_DOPT,LiDAR,d_opt
Apr,0.948663785742728,v3.2.3 iter,P4  (LAI=5.7),DYN_S2_ATBD_NM,Sentinel-2,ATBD
May,0.933254096711698,v3.2.3 iter,P4  (LAI=5.7),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Jun,0.936186619649002,v3.2.3 iter,P4  (LAI=5.7),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Jul,0.950586788698906,v3.2.3 iter,P4  (LAI=5.7),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Aug,0.950534102017032,v3.2.3 iter,P4  (LAI=5.7),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Sep,0.925161379549849,v3.2.3 iter,P4  (LAI=5.7),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Oct,0.923365914264537,v3.2.3 iter,P4  (LAI=5.7),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Apr,0.957334086849982,v3.2.3 iter,P4  (LAI=5.7),DYN_S2_OPT_NM,Sentinel-2,opt
May,0.945205732213564,v3.2.3 iter,P4  (LAI=5.7),DYN_S2_OPT_NM,Sentinel-2,opt
Jun,0.94709236659433,v3.2.3 iter,P4  (LAI=5.7),DYN_S2_OPT_NM,Sentinel-2,opt
Jul,0.958081013797564,v3.2.3 iter,P4  (LAI=5.7),DYN_S2_OPT_NM,Sentinel-2,opt
Aug,0.957600361356739,v3.2.3 iter,P4  (LAI=5.7),DYN_S2_OPT_NM,Sentinel-2,opt
Sep,0.935743645894786,v3.2.3 iter,P4  (LAI=5.7),DYN_S2_OPT_NM,Sentinel-2,opt
Oct,0.933081904331294,v3.2.3 iter,P4  (LAI=5.7),DYN_S2_OPT_NM,Sentinel-2,opt
Apr,0.965784282979276,v3.2.3 iter,P4  (LAI=5.7),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
May,0.956678981572711,v3.2.3 iter,P4  (LAI=5.7),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Jun,0.957223297455403,v3.2.3 iter,P4  (LAI=5.7),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Jul,0.963685246597708,v3.2.3 iter,P4  (LAI=5.7),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Aug,0.964952612731359,v3.2.3 iter,P4  (LAI=5.7),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Sep,0.946101267852135,v3.2.3 iter,P4  (LAI=5.7),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Oct,0.942383959111638,v3.2.3 iter,P4  (LAI=5.7),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Apr,0.982873589770905,v3.2.3 iter,P4  (LAI=5.7),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
May,0.982025615097788,v3.2.3 iter,P4  (LAI=5.7),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Jun,0.980590951590731,v3.2.3 iter,P4  (LAI=5.7),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Jul,0.979816739528025,v3.2.3 iter,P4  (LAI=5.7),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Aug,0.978452098179462,v3.2.3 iter,P4  (LAI=5.7),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Sep,0.976178903322275,v3.2.3 iter,P4  (LAI=5.7),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Oct,0.963752010461332,v3.2.3 iter,P4  (LAI=5.7),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Apr,0.931142810850161,v3.2.3 iter,P4  (LAI=5.7),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
May,0.908830761375632,v3.2.3 iter,P4  (LAI=5.7),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Jun,0.906051308403519,v3.2.3 iter,P4  (LAI=5.7),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Jul,0.932383660418474,v3.2.3 iter,P4  (LAI=5.7),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Aug,0.931046354979581,v3.2.3 iter,P4  (LAI=5.7),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Sep,0.901729070227636,v3.2.3 iter,P4  (LAI=5.7),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Oct,0.903478353111936,v3.2.3 iter,P4  (LAI=5.7),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Apr,0.917906316735732,v3.2.3 iter,P4  (LAI=5.7),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
May,0.889656091563178,v3.2.3 iter,P4  (LAI=5.7),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Jun,0.879808846029586,v3.2.3 iter,P4  (LAI=5.7),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Jul,0.916009559933806,v3.2.3 iter,P4  (LAI=5.7),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
