target,model,r,r_lo,r_hi,rho,R2,RMSE,RMSE_lo,RMSE_hi,MAE
gril_slope,MuSICA v3.2.0,0.955887755448611,0.920146867339821,0.974863909270357,0.900338655055636,0.365971257469433,0.141581711973772,0.118866337497249,0.16318175515721,0.121082658504622
gril_slope,MuSICA v3.2.3,0.793093190143933,0.734202525256047,0.863513936668498,0.924205773262377,0.393859357180019,0.13843292293566,0.0967616861632738,0.178412908503509,0.0972128032739043
gril_slope,Gril LOO canopy,0.932452086398616,0.898877736365295,0.965175193896236,0.925495887760039,0.868500383785785,0.0644785004848896,0.0434757215845873,0.0830571605159003,0.0446782828193519
gril_slope,Gril LOO canopy+topo,0.931107689530356,0.899192403277904,0.963893882301633,0.920174165457184,0.865670574314619,0.0651685810927272,0.0457009444050333,0.083090744370343,0.0466770775512453
dTmax_summer,MuSICA v3.2.0,0.918702253132023,0.868341408651143,0.955710163582164,0.855829704886309,0.306588953861601,1.47331183603014,1.31291869687897,1.62373418469688,1.34192945394473
dTmax_summer,MuSICA v3.2.3,0.604663669844615,0.548462318810838,0.703567685955331,0.896387679406547,0.0731173392882361,1.70338053003911,1.3839483553341,2.03682330609976,1.44003445674553
dTmax_summer,Gril LOO canopy,0.907988448693985,0.849687725695049,0.962760234170936,0.884615384615385,0.82344565497274,0.743427299748951,0.497053217245172,0.964212595107917,0.51755696790227
dTmax_summer,Gril LOO canopy+topo,0.91054760869241,0.854017301181351,0.963491356326335,0.876471536848895,0.828131471433445,0.733495543187473,0.509466497138255,0.969726958491816,0.514065771933205
dTmax_hot,MuSICA v3.2.0,0.847778978825911,0.735755931101683,0.924231691607721,0.79414610546686,-0.023371995164474,2.08252269606363,1.89966854812784,2.25636027278374,1.94223371871009
dTmax_hot,MuSICA v3.2.3,0.51961957138655,0.441457964223237,0.647248741573574,0.782938235768424,-0.08408612385884,2.14340812109293,1.81653748692288,2.46926386951777,1.87169080916898
dTmax_hot,Gril LOO canopy,0.828225797748951,0.708071343918509,0.934090670931296,0.865828092243186,0.682598779305123,1.15978443357761,0.745796531101362,1.56276337903144,0.786280826241674
dTmax_hot,Gril LOO canopy+topo,0.837342519584653,0.726993547079282,0.941650151059738,0.865666827930979,0.69792633531584,1.13143448447758,0.722076139335965,1.5619800949551,0.767490665397816
