id_plot,slope_obs,equil_obs,slope_v320,equil_v320,slope_v323,equil_v323,LAI_ALS,Hmax,fCover,VCI,LCV,CHM_std,northness,twi,slope_t
41_01,0.874590348510722,13.7009993132976,0.937763860653763,20.113149790096,0.922728168662685,21.781568193646,3.0971018075943,23.4999923706055,0.997500002384186,0.518240988254547,0.0325744338333607,1.00881469249725,-1.15290307998657,4.53988647460938,1.22302567958832
41_02,0.910851768669885,12.4346396587121,0.952298219526642,19.2197879512047,0.926870702992721,21.1920896020087,3.4237956404686,16.5499954223633,1,0.502667151391506,0.0209977198392153,0.806751608848572,-1.28156113624573,3.47000360488892,1.78229379653931
41_03,0.811620556083909,13.2694361178058,0.921954516738778,17.7446072038513,0.903712803394349,19.4703358431757,4.73531460762024,34.3800048828125,1,0.555000200867653,0.0319053628481925,4.30711841583252,-0.100275628268719,5.19682741165161,0.317080348730087
41_04,0.74108809830537,13.3343885205883,0.898958526377117,17.1642709525311,0.798151561027313,18.1976091650113,6.42419219017029,35.9200057983398,1,0.595846608281136,0.0303875361569226,1.14868068695068,-0.508480310440064,8.84192276000977,0.554834544658661
41_05,0.740308968414185,13.4835102722897,0.920264472139216,17.7790230574593,0.857641795733522,19.9006891610016,4.84867739677429,32.8300018310547,0.997500002384186,0.612656861543655,0.0378907406702638,2.32560276985168,-0.558515906333923,3.63557434082031,1.5104855298996
41_06,0.901884225377907,9.7238622208391,0.968790424574847,24.1463128136226,0.951108553670667,22.1512126432854,2.37208813428879,14.4499969482422,1,0.467327699065208,0.0236886260099709,0.852467358112335,1.65357625484467,6.74225234985352,2.22994327545166
41_07,1.16620204569484,24.7280112568632,1.03460184460753,4.66128317145162,0.981587928063599,20.6612527477266,1.07197330892086,7.26000213623047,0.730001509189606,0.362002715468407,0.00937522202730179,1.72625195980072,-4.85839509963989,4.40810060501099,4.87257957458496
41_08,0.797077146793363,12.2038151909841,0.920507687512885,17.1968288867883,0.887747895387146,18.2925418728856,5.69467830657959,29.7200012207031,1,0.614421114325523,0.0391093920916319,0.958501160144806,0.52992856502533,4.08758497238159,0.961318075656891
41_09,0.67965518349929,14.4674254945598,0.90324086774127,17.3715572673118,0.810570923124523,18.5120095472428,5.96664786338806,37.8099975585938,1,0.600692287087441,0.0305627067573369,1.49890112876892,-0.744769871234894,5.18088102340698,0.966426432132721
41_10,0.679989691170389,14.9341709605453,0.904612702894437,17.3531956689628,0.83895251928213,18.3909534085517,6.15461266040802,37.4199981689453,0.997500002384186,0.595437273383141,0.0327262915670872,0.992059946060181,2.51179242134094,3.00385332107544,2.83932995796204
41_11,0.701306328231392,14.9212110576375,0.894996619669494,16.8397291909596,0.772110261541889,17.4016102118054,6.74102973937988,38,1,0.600387707352638,0.028721896931529,1.34424376487732,0.680333495140076,5.06284236907959,0.725040555000305
41_12,0.771458609665258,15.1042652347367,0.932724705590527,18.6498465798135,0.90174429927,21.1932424853198,3.81222891807556,27.6199951171875,0.997500002384186,0.519947156310082,0.0303503931500018,1.94617450237274,-1.89723169803619,4.78073787689209,1.92204833030701
41_15,0.927936109918775,3.03553003348458,0.943693038926046,19.2504801769418,0.92236710504453,21.8850648650854,3.3713470697403,28.2099990844727,1,0.566145271062851,0.0408214777708054,1.37466955184937,-1.81738936901093,5.11867332458496,3.08266401290894
41_16,0.918809885695051,-3.06826284216391,0.975117178005217,22.6254405054404,0.965244191704961,18.8789364556555,3.33557111024857,8.17000579833984,0.977500006556511,0.335088059306145,0.00747459405101836,0.524732053279877,0.00715035805478692,5.63531017303467,1.8400262594223
41_17,0.942468923982001,5.37085154784836,0.92777030849819,21.1896845381129,0.926940251769354,22.9540094465003,3.0873441696167,36.8299942016602,0.884998202323914,0.562510594725609,0.0455395318567753,1.59475983646181,-0.416588565407114,5.02860524919298,1.94110092454486
41_18,1.43885303787942,19.1284142855277,1.08283759070357,4.22112955193886,0.985286301243575,24.0344808660823,0.00998673308640718,3.22000122070313,0.02999999653548,0.168815337121487,0.0284969462114816,1.59475983646181,-0.416588565407114,5.02860524919298,1.94110092454486
41_19,1.32946855656367,22.275667624023,1.09617508012136,8.68835639724629,0.981005812754129,19.9021107871856,0.527927845716476,16.9700012207031,0.665004879236221,0.269581191241741,0.0284969462114816,1.59475983646181,-0.416588565407114,5.02860524919298,1.94110092454486
41_21,0.880678448682795,11.8370657496013,0.934501441013481,19.5764445595253,0.924716853402204,21.3600563359185,3.29616177082062,26.9199981689453,1,0.510164923965931,0.0326467351987958,0.960259795188904,-0.121740020811558,5.05123138427734,0.733505368232727
41_22,0.824435202962595,12.2357779392007,0.945288968154187,19.4333210542055,0.925604544893046,21.3687159247418,3.38546067476273,24.0200042724609,1,0.519283533096314,0.0324043864384294,1.28137159347534,-0.0716192573308945,6.80562877655029,0.253820329904556
41_23,0.766581379547645,13.350218733684,0.931600089239848,17.5334100084948,0.890068882968079,19.6180320081242,5.0295302271843,21.4799957275391,1,0.553925901651382,0.0251371474005282,0.887608528137207,0.300797283649445,5.0284366607666,0.750432431697846
41_24,0.79934590526153,13.2148771337373,0.926878532615997,17.6192690538277,0.874471228709872,19.7665095427423,4.83391952514648,27.5200042724609,0.997500002384186,0.575334295630455,0.0277693336829543,2.95654392242432,0.236291125416756,3.6803252696991,1.44439399242401
41_25,0.728710755514184,14.4508095714227,0.91011678922524,17.6660364140518,0.838057863916124,19.2313046893374,5.48082864284515,33.5299987792969,1,0.595547795295715,0.0313408076763153,1.22474133968353,-0.544089496135712,3.31024098396301,2.09080767631531
41_26,0.79208717652529,12.9410328001446,0.920932145458803,18.2038462300548,0.870630085610286,20.3100133598727,4.69293588399887,35.5499954223633,0.985000923275948,0.580975279211998,0.0395823298022151,1.42797136306763,0.887869954109192,3.6304304599762,1.51825666427612
41_27,1.10613600302103,29.1437766329886,1.01992554891972,-3.04773736651443,0.980753238691125,21.5988319135076,1.06542681157589,4.45000457763672,0.827500894665718,0.280228026211262,0.00520383706316352,1.59475983646181,-0.416588565407114,5.02860524919298,1.94110092454486
41_28,0.94845769233526,-8.79117486205517,0.962459778199944,19.246866992297,0.945374005004881,19.5978295042862,3.79909467697144,8.84999847412109,1,0.373739548027515,0.0105725626926869,0.597864151000977,-1.98948240280151,4.64041614532471,2.76341342926025
