ver,metric,P,LAI,fCover,Hmax,LAD,tot,lead,LAD_share
v320,Tmax_all,P4,0.120436240864264,0.00896558516003599,0.00964671439182521,0.112568557467446,0.251617097883571,LAI,0.447380398288888
v320,Tmax_all,P2,0.240571255130604,0.0977828217903207,0.0344715078430251,0.0445421998665838,0.417367784630533,LAI,0.106721700875917
v320,Tmax_all,P1,0.571262153660827,0.234619737826541,0.107777443002586,0.0151198513827869,0.92877918587274,LAI,0.016279274571145
v320,Tmax_all,P3,0.171749242115075,0.0724146780261721,0.00520665345455731,0.0897723329993172,0.339142906595121,LAI,0.26470355491318
v320,Tmax_hot,P4,0.163802777466508,0.0141648271223346,0.0124715873621223,0.188353985384772,0.378793177335736,LAD,0.497247565834133
v320,Tmax_hot,P2,0.317875353830823,0.149394559741984,0.069654964562701,0.0521532075366819,0.58907808567219,LAI,0.0885336066731637
v320,Tmax_hot,P1,0.513757835110024,0.3093031870213,0.165537105171856,0.0206041285674242,1.0092022558706,LAI,0.0204162529835506
v320,Tmax_hot,P3,0.236330042695954,0.10903424366988,0.00789491798634868,0.133593030869594,0.486852235221776,LAI,0.274401597044611
v320,slope_all,P4,0.00913592445439042,0.000685396346629989,0.000756267189443536,0.00826689903203038,0.0188444870224943,LAI,0.438690584793437
v320,slope_all,P2,0.0215103664519109,0.00842674325436901,0.0057106805837674,0.00346780829423199,0.0391155985842793,LAI,0.0886553809667561
v320,slope_all,P1,0.0305385677563528,0.017511289988091,0.0128298458825682,0.00442203071627378,0.0653017343432858,LAI,0.0677168954353882
v320,slope_all,P3,0.0144818098274503,0.00568974523560014,0.00120763544353372,0.00626468006214576,0.0276438705687299,LAI,0.226620944652816
v320,slope_hot,P4,0.0135441618276084,0.000724910552926265,0.00125721708450517,0.0128448152523117,0.0283711047173516,LAI,0.452742865682488
v320,slope_hot,P2,0.0312444693081721,0.0104453309342348,0.00615908612717214,0.00695456252749322,0.0548034488970722,LAI,0.126900088725342
v320,slope_hot,P1,0.0371164331547179,0.0196952059973016,0.0177829179720116,0.00566232250861687,0.0802568796326479,LAI,0.0705524876438565
v320,slope_hot,P3,0.0219856131966895,0.00708360401160547,0.000837247516304932,0.0117456170106152,0.0416520817352151,LAI,0.281993516801461
v320,VPD_all,P4,0.020462477830187,0.00157948101252301,0.00213162948461833,0.0195522097765917,0.04372579810392,LAI,0.447155012016551
v320,VPD_all,P2,0.0361215828475539,0.0152637797844031,0.00554248946434619,0.006566072095198,0.0634939241915012,LAI,0.1034126048879
v320,VPD_all,P1,0.100921711828574,0.0413067393222727,0.0191983646286917,0.00411462410501162,0.165541439884549,LAI,0.0248555534365365
v320,VPD_all,P3,0.0276929604600596,0.0118895420793592,0.00103347005647586,0.0148195850083596,0.0554355576042543,LAI,0.26732995299072
v320,VPD_hot,P4,0.0365693521811711,0.00305859869543291,0.00317541281865446,0.0429830530424574,0.0857864167377158,LAD,0.501047306520263
v320,VPD_hot,P2,0.0660717783684563,0.0342222609951245,0.0181962919159256,0.00990682521649644,0.128397156496003,LAI,0.0771576683382771
v320,VPD_hot,P1,0.119766361851026,0.0776378613135472,0.0420667410740615,0.0056927926242778,0.245163756862912,LAI,0.0232203678762397
v320,VPD_hot,P3,0.0523249345117438,0.0251435426178323,0.00208841985507649,0.0303988760023031,0.109955772986956,LAI,0.276464574587724
iter,Tmax_all,P4,0.389594854891224,0.0385950776168393,0.0381517636532479,0.796519059121597,1.26286075528291,LAD,0.630725957544828
iter,Tmax_all,P2,0.263777829062729,0.0898237897332217,0.0144950834198379,0.216010533592691,0.58410723580848,LAI,0.36981314448828
iter,Tmax_all,P1,0.0494622685482368,0.0305220073471191,0.0154880336539263,0.0459494158490936,0.141421725398376,LAI,0.324910587249993
iter,Tmax_all,P3,0.437976200008802,0.221278590317537,0.0163618326276714,0.493897464380253,1.16951408733426,LAD,0.422309974483523
iter,Tmax_hot,P4,0.576441393738077,0.0581752617730015,0.0534059880427082,1.21676094265631,1.90478358621009,LAD,0.638792223675798
iter,Tmax_hot,P2,0.376011941237637,0.124618736188892,0.0360457815348542,0.215576111821751,0.752252570783134,LAI,0.286574111135739
iter,Tmax_hot,P1,0.0896189131816543,0.0298929988205847,0.0264790268796894,0.0868471930472546,0.232838131929183,LAI,0.37299385769711
iter,Tmax_hot,P3,0.655485199204824,0.339057342931815,0.0201061174293912,0.72248183022919,1.73713048979522,LAD,0.415905330355671
iter,slope_all,P4,0.0372426605327725,0.00397903307650096,0.00306088895355291,0.062843805265792,0.107126387828618,LAD,0.586632355851763
iter,slope_all,P2,0.0295888764911179,0.0110383522184965,0.00533597311518003,0.0338648616851453,0.0798280635099398,LAD,0.424222512687266
iter,slope_all,P1,0.0039589287770129,0.0069545324821876,0.00163185051057792,0.00242407248090315,0.0149693842506816,fCover,0.161935350199376
iter,slope_all,P3,0.044702479622071,0.0245906237428657,0.00156280303952292,0.0532685935898895,0.124124499994349,LAD,0.429154547187015
iter,slope_hot,P4,0.0453658815068221,0.00466274024107052,0.00372066431775082,0.0771067511133509,0.130856037178994,LAD,0.589248710075782
iter,slope_hot,P2,0.0293184583937465,0.0113423393666977,0.0048023781275055,0.0326998826729895,0.0781630585609392,LAD,0.418354696899371
iter,slope_hot,P1,0.00513996556052618,0.00621545139201253,0.0020163070634707,0.0043346399448817,0.0177063639608911,fCover,0.244806892846878
iter,slope_hot,P3,0.0516056839254306,0.027875500141189,0.00184409344568095,0.0593139796051236,0.140639257117424,LAD,0.421745541186985
iter,VPD_all,P4,0.0669529525080098,0.0069835556168092,0.00747218657869712,0.156287893593771,0.237696588297287,LAD,0.65751004132336
iter,VPD_all,P2,0.0455119010757837,0.0178827969493739,0.00294687342096251,0.0667978499937869,0.133139421439907,LAD,0.501713536617225
iter,VPD_all,P1,0.00534316089564872,0.0082955503280786,0.00229661533029205,0.00195966116955238,0.0178949877235718,fCover,0.109508941823473
iter,VPD_all,P3,0.0766450966298095,0.0414902251044345,0.00353944751092779,0.11143622642078,0.233110995665952,LAD,0.478039339596268
iter,VPD_hot,P4,0.120305697432831,0.0128968492031516,0.0124707102881818,0.267779223488719,0.413452480412883,LAD,0.647666264382568
iter,VPD_hot,P2,0.0880192080769284,0.0330218719656526,0.0099749010283442,0.0822089058779645,0.21322488694889,LAI,0.385550237846627
iter,VPD_hot,P1,0.0157221539850392,0.0102011275460037,0.00516690696078414,0.00991639106902518,0.0410065795608522,LAI,0.241824389530213
iter,VPD_hot,P3,0.150413533287928,0.0799039102234231,0.00526959847189917,0.174310568718215,0.409897610701465,LAD,0.425253927242743
