relh,height,Tair,wind,RH,VPD,P,lab,version
0.0284920819103718,0.48436539247632,26.6882057231632,1.78960750199081,49.8672717780362,1.75078353665595,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.0
0.0888952985405922,1.51122007519007,25.5592845478996,1.94879903689108,51.6656082574224,1.57904651937101,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.0
0.156546890735626,2.66129714250565,25.1941032034452,2.3222656481253,52.1470296167863,1.52976044237452,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.0
0.232316687703133,3.94938369095325,24.8575238337282,2.71563907482666,52.1567731750798,1.49908488310938,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.0
0.317178845405579,5.39204037189484,24.5619982776746,2.90199472215739,52.1410719228514,1.47334396261753,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.0
0.412224471569061,7.00781601667404,24.321411533043,2.93882088597274,52.1632222314609,1.45161307513802,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.0
0.518675565719605,8.81748461723328,24.123231464657,2.97611437139453,52.1899245593443,1.43367178594566,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.0
0.637900829315186,10.8443140983582,23.9656264341595,3.09061364725721,52.2169327405159,1.4193725343468,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.0
0.771433055400848,13.1143619418144,23.8375499954641,3.27932791998152,52.2258250594861,1.40823039818347,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.0
0.920989215373993,15.6568166613579,23.7383957993138,3.39317587374257,52.2249962192961,1.39988335823985,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.0
1.11785507202148,19.0035362243652,23.5113199202741,3.62723213442362,52.2317661604547,1.38067986926379,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.0
1.35356509685516,23.0106066465378,23.4589462530418,3.9975703838663,52.2312290851076,1.37634413106327,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.0
1.58927512168884,27.0176770687103,23.4178292363068,4.30466211395837,52.2309751362217,1.3729438006202,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.0
1.82498526573181,31.0247495174408,23.3824116691214,4.56374012438652,52.2306914335303,1.37002256638593,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.0
2.0606951713562,35.0318179130554,23.3480463747119,4.78550797892236,52.2302521029643,1.36719801816254,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.0
0.0284920819103718,0.48436539247632,23.7615771517728,1.94090070913398,52.2170610684688,1.40206945741248,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.3 iter
0.0888952985405922,1.51122007519007,23.7263731242529,2.08693804241758,52.2852513237457,1.39710697182441,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.3 iter
0.156546890735626,2.66129714250565,23.7141424960778,2.48902794195573,52.3078302009834,1.39541869589091,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.3 iter
0.232316687703133,3.94938369095325,23.6920923785434,2.90477623898394,52.2837112641524,1.39427330240147,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.3 iter
0.317178845405579,5.39204037189484,23.6752078197042,3.05619912853088,52.2617088521271,1.39349957189458,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.3 iter
0.412224471569061,7.00781601667404,23.6630428126601,3.06812441605525,52.2505906146459,1.39280399658796,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.3 iter
0.518675565719605,8.81748461723328,23.6521357802095,3.08009623324936,52.2442184198404,1.39207567007123,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.3 iter
0.637900829315186,10.8443140983582,23.6420488034441,3.14978267097734,52.2420356991795,1.39129426258391,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.3 iter
0.771433055400848,13.1143619418144,23.6301614563322,3.27121954350198,52.2374159410297,1.390433467403,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.3 iter
0.920989215373993,15.6568166613579,23.6167141273374,3.33513798357033,52.2311257886855,1.38949118268135,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.3 iter
1.11785507202148,19.0035362243652,23.569369690275,3.62723213442362,52.2278589134558,1.38563005124102,P1,"P1 (LAI 0.5, Hmax 17m)",v3.2.3 iter
