plot_id,x,y,LAI_ALS,LAI_S2_ATBD,LAI_RF_base_loo,LAI_RF_topo_loo
X366240_Y5269440,366240,5269440,3.0971018075943,4.74982881546021,3.89443572410484,3.9285078700463
X366540_Y5269480,366540,5269480,3.4237956404686,5.14631760120392,3.3802105047694,3.37361920019189
X366780_Y5269620,366780,5269620,4.73531460762024,5.10188210010529,4.0078602816303,4.05210617344563
X367760_Y5269820,367760,5269820,6.42419219017029,4.70539772510529,5.49625271365577,5.20002004156609
X368480_Y5273480,368480,5273480,4.84867739677429,4.89444041252136,4.70802901558779,4.61615989720891
X368300_Y5273960,368300,5273960,1.07197330892086,4.22795581817627,2.34128831555923,2.39946689006684
X368400_Y5274120,368400,5274120,5.69467830657959,4.67376112937927,4.83299741484213,4.8832512285014
X368220_Y5271980,368220,5271980,5.96664786338806,4.49172937870026,5.7538061777313,5.32940541431705
X368220_Y5272400,368220,5272400,6.15461266040802,4.64514672756195,5.26001626134959,5.26299970913728
X366960_Y5272340,366960,5272340,6.74102973937988,4.59315311908722,5.19233369823419,5.1120198515918
X367420_Y5271640,367420,5271640,3.81222891807556,4.78947377204895,3.82812740400571,3.65928441200634
X371260_Y5271560,371260,5271560,3.3713470697403,4.79296600818634,4.28399586978878,4.17208878405094
X370580_Y5271460,370580,5271460,3.29616177082062,4.77546882629395,3.86729175124483,3.97033604033589
X370140_Y5271660,370140,5271660,3.38546067476273,4.87909317016602,3.69690547124238,3.82478614909481
X370000_Y5271340,370000,5271340,5.0295302271843,4.55910193920136,3.42229029781162,3.5708296154375
X368900_Y5272260,368900,5272260,4.83391952514648,5.05369699001312,3.9473910456616,4.18958711055386
X368840_Y5271900,368840,5271900,5.48082864284515,4.77583265304565,4.89039631480277,4.70819455070558
X369060_Y5271900,369060,5271900,4.69293588399887,4.67397511005402,4.72632306670059,4.89917163362901
X369740_Y5267040,369740,5267040,1.06542681157589,5.59786510467529,1.50456280251115,1.25574898654795
X369300_Y5267000,369300,5267000,3.79909467697144,5.82120490074158,2.78814074506186,2.95980097073798
X369200_Y5266420,369200,5266420,3.17656272649765,5.22362434864044,3.15957257998063,3.38325705407411
X369660_Y5266500,369660,5266500,3.2182492017746,4.79736840724945,3.11901922603149,3.23784779196281
X369520_Y5266520,369520,5266520,3.21039295196533,5.52715635299683,3.15988751624578,3.04434706030473
X369060_Y5267060,369060,5267060,3.59469872713089,4.60084092617035,3.76952958899338,3.65481723604827
X371440_Y5271440,371440,5271440,3.33557111024857,6.6350599527359,2.84218523571023,2.83113920094799
X371420_Y5271280,371420,5271280,3.0873441696167,3.66450214385986,3.73953132849073,3.75709393651567
X370800_Y5271660,370800,5271660,0.00998673308640718,4.82452315472542,0.281912129180977,0.295162549697959
X370880_Y5271440,370880,5271440,0.527927845716476,4.82452315472542,1.44446173619904,1.35166649393906
X369160_Y5266220,369160,5266220,0.0609616180299781,4.82452315472542,0.302887267280859,0.296618768605924
X369720_Y5266760,369720,5266760,3.70296066999435,4.9819370508194,3.46680686422935,3.42714371294429
X369560_Y5266820,369560,5266820,2.60820317268372,5.10599398612976,3.24769621329172,3.28138983762599
X369680_Y5268440,369680,5268440,4.95061105489731,4.5576024055481,5.209043307215,5.37383760014762
X369400_Y5273180,369400,5273180,0.000912871735636145,4.82452315472542,0.294244371042442,0.313778465118953
X368960_Y5270980,368960,5270980,4.71905541419983,4.53434455394745,5.24040660085264,4.97346842276057
X369020_Y5269800,369020,5269800,5.57452714443207,4.58179688453674,4.99382547744018,5.38467282031973
X368240_Y5269620,368240,5269620,5.1080470085144,4.73737037181854,4.90887807181203,4.67200982630912
X368480_Y5269620,368480,5269620,3.90883481502533,4.75862181186676,4.37207547801894,4.31596068963492
X368340_Y5269320,368340,5269320,4.17399257421494,4.27550208568573,4.93757862046419,4.77786550884843
X371220_Y5270860,371220,5270860,0.393926847726107,4.82452315472542,0.378689060873709,0.386620465473007
X371220_Y5270720,371220,5270720,2.88078713417053,5.95991313457489,3.12897799699064,3.32377481002686
X371360_Y5270540,371360,5270540,0.251139052212238,4.82452315472542,0.410953285791336,0.44393724418597
X370460_Y5269980,370460,5269980,3.86174809932709,4.94555222988129,3.27938485464821,3.28178755759299
X370140_Y5269640,370140,5269640,2.90102636814117,5.49176776409149,3.16052167270002,3.44323078466867
X370220_Y5269360,370220,5269360,3.96557396650314,4.45200991630554,4.30977278116425,3.98875088568024
X369880_Y5268260,369880,5268260,4.93214952945709,4.62966251373291,5.24532814741761,4.87698137559905
X368560_Y5270360,368560,5270360,4.90554070472717,5.05425262451172,4.74356217018179,4.39304797583163
X368840_Y5268680,368840,5268680,6.60095369815826,4.40971112251282,4.88400334120996,4.73724566304882
X368680_Y5268400,368680,5268400,3.29034751653671,3.97195100784302,4.2614046668504,4.60448491152723
X368620_Y5268860,368620,5268860,4.0164088010788,4.45445001125336,4.64752765298764,5.13504193079273
X369620_Y5269600,369620,5269600,4.62502092123032,4.20882475376129,4.59818635046395,5.09444532240083
X368400_Y5273700,368400,5273700,2.37208813428879,4.45935142040253,3.83163771805603,4.08337700995485
X369880_Y5268160,369880,5268160,4.75718653202057,4.64026987552643,4.86682490478076,4.90498319541017
X372040_Y5270720,372040,5270720,3.01517081260681,5.14485931396484,3.83924441002732,4.15557984808015
