target,MuSICA_cor,MuSICA_R2,MuSICA_RMSE,Emp_cor,Emp_R2_loo,Emp_RMSE_loo
beta,0.956164745799609,0.380549179806007,0.140786477559732,0.933748597241689,0.870944786429751,0.0642606780771801
dTmaxS,0.918702253132023,0.306588953861601,1.47331183603014,0.907988448693985,0.82344565497274,0.743427299748951
dTmaxH,0.847778978825911,-0.023371995164474,2.08252269606363,0.828225797748951,0.682598779305123,1.15978443357761
