residual,term,coef,t,p,model_R2,model_p
res_beta,(Intercept),-0.157618642151883,-1.8905329830652,0.0646079025290772,0.0666637056544842,0.332021455802656
res_beta,twi,0.0133614533801338,0.944171412730125,0.349714526753802,0.0666637056544842,0.332021455802656
res_beta,northness,-0.0218673870056852,-1.59569648909793,0.116986831442064,0.0666637056544842,0.332021455802656
res_beta,slope,0.0102145865173528,0.894474653619237,0.375440715618157,0.0666637056544842,0.332021455802656
res_dTmaxS,(Intercept),-1.8894751505719,-2.68814938707589,0.00978908666891362,0.128065450547356,0.0791746764267549
res_dTmaxS,twi,0.116450210831952,0.976052018053507,0.333832965401493,0.128065450547356,0.0791746764267549
res_dTmaxS,northness,-0.284856444902732,-2.46555665603112,0.0172296102138695,0.128065450547356,0.0791746764267549
res_dTmaxS,slope,0.108382251843826,1.12574740836934,0.265756160791701,0.128065450547356,0.0791746764267549
res_dTmaxH,(Intercept),-2.79447124399749,-3.19778170432107,0.00242738995751542,0.146407178757382,0.0495657387492343
res_dTmaxH,twi,0.169671819375135,1.14387707090734,0.258232097274844,0.146407178757382,0.0495657387492343
res_dTmaxH,northness,-0.388565130287139,-2.70513980328721,0.00936488825206623,0.146407178757382,0.0495657387492343
res_dTmaxH,slope,0.116910464804232,0.976726849276031,0.33350205599963,0.146407178757382,0.0495657387492343
