version,scenario,dT_R2_all,dT_R2_hot,slopeR2,dT_RMSE_all,dT_RMSE_hot,sl_RMSE_all,sl_RMSE_hot,label
v3.2.0,CONST_ALS,0.841740783625131,0.717018216028712,0.888018038758537,1.99928248675768,2.33303434139459,0.143321528005447,0.22063942431731,LiDAR const
v3.2.0,DYN_ALS_S2TIMING_NM,0.820783847755019,0.704541810135979,0.882142520900514,2.13057397760537,2.46896840630405,0.149231099196931,0.228937872321066,S2t.ALS/ATBD
v3.2.0,DYN_ALSoOPT_S2TIMING_NM,0.814692959401735,0.694221249355948,0.870529154775974,2.06664354982842,2.39402401308735,0.145720046780465,0.222819407638468,S2t.ALS/opt
v3.2.0,DYN_ATBD_rfull_NM,0.66730968538337,0.534887813740624,0.699298365469319,2.24170951968701,2.66770940530586,0.150676553400098,0.230720255346083,S2 ATBD x->full
v3.2.0,DYN_OPT_rdopt_NM,0.434583470769631,0.421837938183681,0.619783474441781,2.98088639734932,3.43644544778303,0.19781191871732,0.280254574612125,S2 opt x->d_opt
v3.2.0,DYN_RF,0.824548499489291,0.693184167698434,0.880100718462183,2.03234056509552,2.37603301167806,0.145623292157471,0.225675093957298,S2 RF
v3.2.0,DYN_S2_ANNUAL,0.837051852256312,0.715049019359431,0.885800301811042,2.05511071920581,2.38131065305388,0.144243645713623,0.222577011648621,S2 annual
v3.2.0,DYN_S2_ATBD_NM,0.652383162308582,0.522323765844157,0.672699681947365,2.09355830099287,2.50213622056359,0.141104827420311,0.21912632113576,S2 ATBD
v3.2.0,DYN_S2_OPT_NM,0.662463821098259,0.528633286148189,0.687110755467967,2.14927210792876,2.57164894952466,0.145318957237521,0.223365989622786,S2 opt
v3.2.0,FUSION_H,0.777624479301395,0.639111634390074,0.735843110861532,2.02421579856583,2.43774403537386,0.131820371756859,0.20503238460809,Fusion-H
v3.2.0,NAIVE_S2_FORMSH,0.622602724913733,0.488028939706478,0.615216943122698,2.17504248516367,2.70512917015811,0.154387748882785,0.233197795026817,S2 naive
v3.2.0,STATIC_ALS,0.844054323101236,0.718729196939104,0.896899313462363,1.98093356394,2.30681850576719,0.140786477559732,0.218409387623142,LiDAR full
v3.2.0,STATIC_ALS_DOPT,0.473299903397953,0.404001010481429,0.620894881234747,2.70743049452716,3.15863184561137,0.18594784789019,0.267471370257939,LiDAR d_opt
v3.2.3 iter,CONST_ALS,0.353790544529633,0.25338021782645,0.608464256136321,2.17294178548733,2.37141359506828,0.142553241858272,0.223550783685807,LiDAR const
v3.2.3 iter,DYN_ALS_S2TIMING_NM,0.312598193341899,0.169258452173269,0.619273519331537,2.29871457744509,2.55603445703272,0.151688019520698,0.231608285105308,S2t.ALS/ATBD
v3.2.3 iter,DYN_ALSoOPT_S2TIMING_NM,0.338370201163347,0.223812040497499,0.597738212020908,2.23681724045569,2.45362740843199,0.145116437534152,0.224377829823762,S2t.ALS/opt
v3.2.3 iter,DYN_ATBD_rfull_NM,0.264921529539807,0.0481018845196302,0.722312057861589,2.37184591140712,2.71856863169155,0.164623140163795,0.241563653241162,S2 ATBD x->full
v3.2.3 iter,DYN_OPT_rdopt_NM,0.0252384852553916,0.00575908991196862,0.449528678006551,2.43914763541106,2.72510397897033,0.192652942638237,0.265369747917443,S2 opt x->d_opt
v3.2.3 iter,DYN_RF,0.415108557596819,0.262362189097774,0.63474507660859,2.2223506571883,2.45663769206978,0.146304341516362,0.228006521231239,S2 RF
v3.2.3 iter,DYN_S2_ANNUAL,0.348249312333253,0.271611168211744,0.580399522602225,2.22641382581748,2.44371046897663,0.142913978323898,0.221931710942881,S2 annual
v3.2.3 iter,DYN_S2_ATBD_NM,0.539558499129243,0.30288224963203,0.739915271061612,2.28282083875396,2.57102809164696,0.149842549060635,0.228008409372694,S2 ATBD
v3.2.3 iter,DYN_S2_OPT_NM,0.409705054068764,0.189843913503342,0.721492338597121,2.3274911869822,2.64258944431853,0.15608383413412,0.233755804388251,S2 opt
v3.2.3 iter,FUSION_H,0.583193537495868,0.50507392232513,0.698232970833359,2.15225578502112,2.36308209658089,0.13314843228865,0.211120837685559,Fusion-H
v3.2.3 iter,NAIVE_S2_FORMSH,0.598919085111344,0.390156894057155,0.776967465477867,2.33985335225348,2.74841168042004,0.153589421556653,0.237235997939986,S2 naive
v3.2.3 iter,STATIC_ALS,0.365618153629958,0.270004498967942,0.615992686882731,2.16285638929929,2.34641863096054,0.139291710975615,0.218896119740777,LiDAR full
v3.2.3 iter,STATIC_ALS_DOPT,0.109676728842965,0.146612920175685,0.148118773770119,2.44910620340811,2.75326717907248,0.189342620550327,0.263793380953534,LiDAR d_opt
