id_plot,src,slope_day,slope_night,DTR,dTmin,temp_r,bias
41_01,Observed,0.958806741864373,0.959170224129792,9.36976229508197,-0.107451990346462,,
41_01,v3.2.0,0.989776139653073,0.885202166531294,9.66596330993302,0.354428825924792,0.895007699567784,0.746192595498182
41_01,v3.2.3 iter,0.978557370737643,0.872653662269156,9.30080299109697,0.726335209487343,0.890793257987262,0.886634797979012
41_02,Observed,1.00446901484797,0.952792739868826,10.0104180327869,-0.264484777231708,,
41_02,v3.2.0,1.00333068861145,0.893111237446183,9.84377719003264,0.225168831681773,0.900476485410157,0.70379363839601
41_02,v3.2.3 iter,0.986384483468908,0.874172374609999,9.36487042405979,0.634062653046543,0.892797779990278,0.83807155323917
41_03,Observed,0.93953029179145,0.891439131139267,8.6498606557377,-0.0212716624776099,,
41_03,v3.2.0,0.986321321946035,0.869731205559758,9.37192956022315,0.336533911858666,0.890841236706934,0.932341140551525
41_03,v3.2.3 iter,0.971618796138177,0.834285474647688,9.04290718072493,0.691363373045824,0.877349834917014,1.0411560111397
41_04,Observed,0.897421116026382,0.880907644048982,7.58430327868852,-0.0502470723136754,,
41_04,v3.2.0,0.969403460616714,0.871642005249703,9.0052887963467,0.399565899958376,0.881280041450544,1.24067000915154
41_04,v3.2.3 iter,0.904408862275779,0.737295655419916,7.59520383741035,1.32064544177446,0.88938201507916,1.26575211040632
41_05,Observed,0.883408776072545,0.832112634103464,7.62737704918033,0.0812365342437015,,
41_05,v3.2.0,0.984082930706009,0.871596176406149,9.32877666740586,0.334717288795338,0.873255749055085,1.21348900191929
41_05,v3.2.3 iter,0.959078770465417,0.774393088908462,8.42144975778689,1.20283631402581,0.872910918194233,1.41666550390796
41_07,Observed,1.12243506794708,0.879382884193203,15.2729016393443,-2.06307494116613,,
41_07,v3.2.0,1.03435979132869,0.939919088262249,11.3533260794177,0.026677338251754,0.873897667118591,1.62093187683646
41_07,v3.2.3 iter,0.987506682379201,0.963157893761031,10.1863369319568,-0.0792593115431483,0.870056005893083,1.08213024014143
41_08,Observed,0.901873629980026,0.843306624694938,8.37554918032787,-0.226935596903839,,
41_08,v3.2.0,0.986720590314606,0.8836073332945,9.28894562688791,0.309276263222809,0.89045420484961,1.12776049690992
41_08,v3.2.3 iter,0.972186402433356,0.804658869452589,8.82032915367852,0.773312497984864,0.883095187975781,1.18285173331837
41_09,Observed,0.870429331256694,0.826809111072798,6.82840983606557,0.264515222768292,,
41_09,v3.2.0,0.973909779494598,0.870876295212948,9.08386055367892,0.387711822009477,0.864800432297216,1.28413223368816
41_09,v3.2.3 iter,0.915877624188765,0.745549105244093,7.76145734943327,1.30764020075564,0.873820190373399,1.34711516445368
41_10,Observed,0.860548018136282,0.821520656520803,6.83462295081967,0.398326698178128,,
41_10,v3.2.0,0.976663479438887,0.872317300262991,9.08490640608991,0.392677182056865,0.869383952941977,1.12320713421295
41_10,v3.2.3 iter,0.934378273802309,0.772151796360589,8.14151901495261,1.09394486224065,0.871357786557986,1.18003413963711
41_11,Observed,0.885587017921418,0.849012832240934,7.16832786885246,0.316269321128948,,
41_11,v3.2.0,0.965725659412997,0.879577724790023,8.94942186699539,0.37746066734439,0.868488477956884,1.00212427124944
41_11,v3.2.3 iter,0.873276647959521,0.72415142817616,7.24000149085873,1.2974986091989,0.885451503082002,0.879156516669004
41_12,Observed,0.920040979053626,0.851986652093201,8.16949180327869,0.339982435883046,,
41_12,v3.2.0,0.989590034620451,0.879033318002886,9.52020778294938,0.339283207649241,0.886582115785079,0.854802521357757
41_12,v3.2.3 iter,0.98365693185736,0.826551196921514,9.014543975748,0.951598386833565,0.880524144780705,1.08871648070221
41_15,Observed,0.984113368244932,0.905975433208171,10.0082950819672,-0.819804449362856,,
41_15,v3.2.0,0.995775492952396,0.877328294928035,9.76562057382756,0.29267833298216,0.891511373826771,1.08329495599198
41_15,v3.2.3 iter,0.991516485500867,0.849511238868908,9.30446563734141,0.782883982427062,0.881896507763831,1.27205924907425
41_21,Observed,1.00476422347647,0.874549202794634,9.49538524590164,-0.144788055920233,,
41_21,v3.2.0,0.991313333244011,0.877109899841317,9.59890139083924,0.378469883519866,0.896240525303564,0.825226656877451
41_21,v3.2.3 iter,0.980257669452084,0.873438833022272,9.33084570601228,0.64156027904275,0.888430915879922,0.947428074709202
41_22,Observed,0.977030477484359,0.856109520998398,8.84750819672131,-0.172968383789085,,
41_22,v3.2.0,0.997565923856292,0.888483762623238,9.7033508784971,0.307300246906604,0.895811320959838,1.15371360435838
41_22,v3.2.3 iter,0.988537725646149,0.860076798775083,9.34417381455558,0.688653396795628,0.887799634513834,1.29931762331949
41_23,Observed,0.893699799402125,0.863733104690804,7.81620491803279,0.0554496489978,,
41_23,v3.2.0,0.992369074050264,0.88504468163392,9.48972185826017,0.264795142129773,0.883644817428923,1.16317010590651
