model,n_feat,LOO_R2,LOO_RMSE,LOO_MAE
RF_base (DYN_RF features),5,0.838602794304009,0.692710013405552,0.537727255390148
RF_topo (+CHM_std +topo),11,0.812804403266836,0.746021380644763,0.588039122385987
