period,tod,relh,height,Tair,wind,RH,VPD,P,version
JJAS,day,0.0284920819103718,0.48436539247632,26.6882057231632,1.78960750199081,49.8672717780362,1.75078353665595,P1,v3.2.0
JJAS,day,0.0888952985405922,1.51122007519007,25.5592845478996,1.94879903689108,51.6656082574224,1.57904651937101,P1,v3.2.0
JJAS,day,0.156546890735626,2.66129714250565,25.1941032034452,2.3222656481253,52.1470296167863,1.52976044237452,P1,v3.2.0
JJAS,day,0.232316687703133,3.94938369095325,24.8575238337282,2.71563907482666,52.1567731750798,1.49908488310938,P1,v3.2.0
JJAS,day,0.317178845405579,5.39204037189484,24.5619982776746,2.90199472215739,52.1410719228514,1.47334396261753,P1,v3.2.0
JJAS,day,0.412224471569061,7.00781601667404,24.321411533043,2.93882088597274,52.1632222314609,1.45161307513802,P1,v3.2.0
JJAS,day,0.518675565719605,8.81748461723328,24.123231464657,2.97611437139453,52.1899245593443,1.43367178594566,P1,v3.2.0
JJAS,day,0.637900829315186,10.8443140983582,23.9656264341595,3.09061364725721,52.2169327405159,1.4193725343468,P1,v3.2.0
JJAS,day,0.771433055400848,13.1143619418144,23.8375499954641,3.27932791998152,52.2258250594861,1.40823039818347,P1,v3.2.0
JJAS,day,0.920989215373993,15.6568166613579,23.7383957993138,3.39317587374257,52.2249962192961,1.39988335823985,P1,v3.2.0
JJAS,day,1.11785507202148,19.0035362243652,23.5113199202741,3.62723213442362,52.2317661604547,1.38067986926379,P1,v3.2.0
JJAS,day,1.35356509685516,23.0106066465378,23.4589462530418,3.9975703838663,52.2312290851076,1.37634413106327,P1,v3.2.0
JJAS,day,1.58927512168884,27.0176770687103,23.4178292363068,4.30466211395837,52.2309751362217,1.3729438006202,P1,v3.2.0
JJAS,day,1.82498526573181,31.0247495174408,23.3824116691214,4.56374012438652,52.2306914335303,1.37002256638593,P1,v3.2.0
JJAS,day,2.0606951713562,35.0318179130554,23.3480463747119,4.78550797892236,52.2302521029643,1.36719801816254,P1,v3.2.0
JJAS,night,0.0284920819103718,0.48436539247632,15.9663053252007,1.42376714629309,84.2634641718411,0.28488320351429,P1,v3.2.0
JJAS,night,0.0888952985405922,1.51122007519007,15.5997991759921,1.55041601008079,85.3597386273834,0.258901320695555,P1,v3.2.0
JJAS,night,0.156546890735626,2.66129714250565,15.5056935544874,1.84753866780733,85.5782025032621,0.25350603474806,P1,v3.2.0
JJAS,night,0.232316687703133,3.94938369095325,15.5163905909805,2.16049732084646,85.2938232449179,0.258681999077113,P1,v3.2.0
JJAS,night,0.317178845405579,5.39204037189484,15.5373067636959,2.30875532789146,84.9817105699018,0.264526124649795,P1,v3.2.0
JJAS,night,0.412224471569061,7.00781601667404,15.5460223255262,2.33805475554994,84.7665068389769,0.268466407445356,P1,v3.2.0
JJAS,night,0.518675565719605,8.81748461723328,15.550641444472,2.36772601514078,84.6010817772704,0.271462032822511,P1,v3.2.0
JJAS,night,0.637900829315186,10.8443140983582,15.5521315944651,2.45881687674692,84.4792522687319,0.27363582604143,P1,v3.2.0
JJAS,night,0.771433055400848,13.1143619418144,15.5576879199086,2.60894774116291,84.3583443972342,0.275865583965551,P1,v3.2.0
JJAS,night,0.920989215373993,15.6568166613579,15.5647188447213,2.69952030972542,84.2512301244119,0.277879760900226,P1,v3.2.0
JJAS,night,1.11785507202148,19.0035362243652,15.5780410599839,2.90377140191735,84.0111281965018,0.282356935254195,P1,v3.2.0
JJAS,night,1.35356509685516,23.0106066465378,15.5816174950105,3.24051780453145,83.9480261931464,0.28353619063134,P1,v3.2.0
JJAS,night,1.58927512168884,27.0176770687103,15.5846425707875,3.53097141379379,83.8937087469486,0.284550724675233,P1,v3.2.0
JJAS,night,1.82498526573181,31.0247495174408,15.5874838323541,3.78504600534674,83.8426711746697,0.285504323834133,P1,v3.2.0
JJAS,night,2.0606951713562,35.0318179130554,15.5904828097651,4.00992729502623,83.7891007687061,0.286505915338048,P1,v3.2.0
JJAS,global,0.0284920819103718,0.48436539247632,20.5026065367819,1.54151497027313,68.177256171339,0.76569805787618,P1,v3.2.0
JJAS,global,0.0888952985405922,1.51122007519007,19.888760888772,1.67863783450756,69.4208022137109,0.708394392862461,P1,v3.2.0
JJAS,global,0.156546890735626,2.66129714250565,19.7033693949382,2.00033042355456,69.6989395273333,0.693932529149448,P1,v3.2.0
JJAS,global,0.232316687703133,3.94938369095325,19.5860649421567,2.33917050497973,69.4917716179369,0.693610482994729,P1,v3.2.0
JJAS,global,0.317178845405579,5.39204037189484,19.4891704642708,2.49969225259793,69.269332466552,0.694476749607504,P1,v3.2.0
JJAS,global,0.412224471569061,7.00781601667404,19.4055351028026,2.53141283261961,69.1270835531833,0.69407505662248,P1,v3.2.0
JJAS,global,0.518675565719605,8.81748461723328,19.3351495190396,2.56353594622539,69.0210480118254,0.693417823956987,P1,v3.2.0
JJAS,global,0.637900829315186,10.8443140983582,19.2779226084225,2.66216274433581,68.9449940712645,0.692650169357454,P1,v3.2.0
JJAS,global,0.771433055400848,13.1143619418144,19.2337815373322,2.8247171063027,68.8661712997904,0.692503470636953,P1,v3.2.0
JJAS,global,0.920989215373993,15.6568166613579,19.2010936778751,2.92278290485017,68.7949028410188,0.692677879630079,P1,v3.2.0
JJAS,global,1.11785507202148,19.0035362243652,19.1242252037173,3.13576028632163,68.6386510738863,0.692822014850088,P1,v3.2.0
