id_plot,slope_obs,equil_obs,dTmaxS_obs,dTmaxH_obs,slope_v320,equil_v320,dTmaxS_v320,dTmaxH_v320,slope_v323,equil_v323,dTmaxS_v323,dTmaxH_v323,LAI_ALS,Hmax,fCover,VCI,LCV,CHM_std,northness,twi,slope_t
41_01,0.888197104214691,14.4342264277959,-0.66412182016844,-1.24892675781252,0.942619638849288,21.1071338389396,0.093960010953868,0.22144435316669,0.918196231911169,22.175420532978,0.100706075680368,0.161363069309761,3.0971018075943,23.4999923706055,0.997500002384186,0.518240988254547,0.0325744338333607,1.00881469249725,-1.15290307998657,4.53988647460938,1.22302567958832
41_02,0.925107851089073,11.5067662336126,-0.180498869348768,-0.5458498347356,0.957278071546857,20.7840774389498,0.142513896810472,0.371763022973242,0.924480089069937,21.7040787964672,0.0725009522023899,0.202696661837863,3.4237956404686,16.5499954223633,1,0.502667151391506,0.0209977198392153,0.806751608848572,-1.28156113624573,3.47000360488892,1.78229379653931
41_03,0.82088814930332,13.896660497486,-1.29784313164385,-1.75631137319714,0.92651666350214,18.4819591156052,-0.217968652822126,-0.14692221537835,0.899499147441434,19.6481364054772,-0.19216157113319,-0.157036996128078,4.73531460762024,34.3800048828125,1,0.555000200867653,0.0319053628481925,4.30711841583252,-0.100275628268719,5.19682741165161,0.317080348730087
41_04,0.752748182370812,13.8124187889777,-2.3923759185291,-3.10615752704329,0.903391922297171,17.4782269377765,-0.521577428598873,-0.553311861478365,0.788251109765157,18.6258523255432,-1.01058284571913,-1.37591552734375,6.42419219017029,35.9200057983398,1,0.595846608281136,0.0303875361569226,1.14868068695068,-0.508480310440064,8.84192276000977,0.554834544658661
41_05,0.741882547635359,14.3170163520121,-2.21781854147992,-3.00046521935098,0.924134315252685,18.2978578677625,-0.262938168702744,-0.200519827739172,0.850765865715198,20.0860621501661,-0.302146053091248,-0.264666964630207,4.84867739677429,32.8300018310547,0.997500002384186,0.612656861543655,0.0378907406702638,2.32560276985168,-0.558515906333923,3.63557434082031,1.5104855298996
41_06,0.90916087575495,10.9203164448614,-0.5277365742668,-0.972157527043292,0.973062996880169,25.0909864105935,0.420533539506849,0.80120809257559,0.948710973714961,22.9031053421939,0.194987639953111,0.297885978668826,2.37208813428879,14.4499969482422,1,0.467327699065208,0.0236886260099709,0.852467358112335,1.65357625484467,6.74225234985352,2.22994327545166
41_07,1.14274514770509,25.9503688332166,3.28339457327418,4.2621501652644,1.04869969979425,8.90348848785348,1.45357129276546,1.81150239025429,0.981774312436666,22.6293932292264,0.18064549550967,0.227456606000168,1.07197330892086,7.26000213623047,0.730001509189606,0.362002715468407,0.00937522202730179,1.72625195980072,-4.85839509963989,4.40810060501099,4.87257957458496
41_08,0.79782438072341,13.1793965621039,-1.77781854147992,-2.52138829627406,0.922478477359431,17.9697766643874,-0.328210234793224,-0.231218002169813,0.881692574929197,18.7356660613317,-0.33279047324056,-0.223506019591949,5.69467830657959,29.7200012207031,1,0.614421114325523,0.0391093920916319,0.958501160144806,0.52992856502533,4.08758497238159,0.961318075656891
41_09,0.685289259314423,14.8086587385147,-2.83350706607008,-3.53100368088945,0.908136235655992,17.6999772916422,-0.454859749215548,-0.46075439453125,0.800910345614994,18.8581955859413,-0.857334574715036,-1.14682241586538,5.96664786338806,37.8099975585938,1,0.600692287087441,0.0305627067573369,1.49890112876892,-0.744769871234894,5.18088102340698,0.966426432132721
41_10,0.687195210426635,15.2931048973581,-2.69348247590614,-3.5538498347356,0.909496295108335,17.7160978792204,-0.448848536757172,-0.428365854116587,0.831571746146554,18.7534438118182,-0.690968247710681,-0.886052058293269,6.15461266040802,37.4199981689453,0.997500002384186,0.595437273383141,0.0327262915670872,0.992059946060181,2.51179242134094,3.00385332107544,2.83932995796204
41_11,0.711126191530542,15.1670502263073,-2.44183493492254,-3.15254214242791,0.898298383913833,17.2199551671504,-0.599549590564165,-0.649087759164663,0.756181843689906,18.0319357158427,-1.38893202484631,-1.94713416466346,6.74102973937988,38,1,0.600387707352638,0.028721896931529,1.34424376487732,0.680333495140076,5.06284236907959,0.725040555000305
41_12,0.789170404524314,15.300253631971,-1.41695788574221,-2.16192675781252,0.937336636442648,19.5442864085038,-0.0669411343053278,0.0337520322439979,0.897653654304158,21.5382957906566,0.0397102376776169,0.192609825956529,3.81222891807556,27.6199951171875,0.997500002384186,0.519947156310082,0.0303503931500018,1.94617450237274,-1.89723169803619,4.78073787689209,1.92204833030701
41_15,0.925891583439592,6.53955717386324,-0.737941492299587,-0.940926757812523,0.948488644447598,20.8032441864449,0.131866781905775,0.275252947063424,0.918386715776483,22.2842364207539,0.160917494864528,0.374039299753533,3.3713470697403,28.2099990844727,1,0.566145271062851,0.0408214777708054,1.37466955184937,-1.81738936901093,5.11867332458496,3.08266401290894
41_16,0.913244187565296,-0.788401528068557,-1.52524477098811,-2.20454214242791,0.98379233335128,24.5150844968993,0.355279914222092,0.726246680505837,0.964609188026003,19.7623037500229,0.0670071750662369,0.149084074367102,3.33557111024857,8.17000579833984,0.977500006556511,0.335088059306145,0.00747459405101836,0.524732053279877,0.00715035805478692,5.63531017303467,1.8400262594223
41_17,0.937477041690184,7.88951443313536,-0.222859525086472,-0.669311373197138,0.931699468025082,22.1810759618258,0.157586769979508,0.195730356069712,0.922316072306872,23.1661958765388,0.192352545065958,0.244464580829327,3.0873441696167,36.8299942016602,0.884998202323914,0.562510594725609,0.0455395318567753,1.59475983646181,-0.416588565407114,5.02860524919298,1.94110092454486
41_18,1.4313591464161,19.9178854507747,4.79682899950369,4.36576554987979,1.09726580916744,6.44950399697169,2.23974667272836,2.65142879284434,0.985011774664655,26.269284054136,0.243544377346768,0.27772936190409,0.00998673308640718,3.22000122070313,0.02999999653548,0.168815337121487,0.0284969462114816,1.59475983646181,-0.416588565407114,5.02860524919298,1.94110092454486
41_19,1.32348023215896,23.494338899203,3.05428801589713,3.14176554987979,1.11228435142048,10.3191656178476,2.52855733144094,3.00826749661807,0.980335900671244,21.558371093921,0.141922543040493,0.162892847350511,0.527927845716476,16.9700012207031,0.665004879236221,0.269581191241741,0.0284969462114816,1.59475983646181,-0.416588565407114,5.02860524919298,1.94110092454486
