P,version,Tair_grad,wind_grad,RH_grad,VPD_grad,understory_VPD,top_VPD
P1,v3.2.0,2.94980992384944,-1.60356837175176,-2.35772444125993,0.350900178416097,1.75078353665595,1.39988335823985
P1,v3.2.3 iter,0.144863024435381,-1.39423727443635,-0.014064720216723,0.0125782747311283,1.40206945741248,1.38949118268135
P2,v3.2.0,0.117624751857079,-2.08208808036206,2.52221011551517,-0.0637676945307644,1.32368278448488,1.38745047901565
P2,v3.2.3 iter,0.171597506830608,-3.3467858696733,2.48064556949059,-0.0582977800630422,1.3282085118032,1.38650629186624
P3,v3.2.0,-0.194270983419756,-2.00671437782709,2.88705394916486,-0.0989155118436902,1.28923121338123,1.38814672522492
P3,v3.2.3 iter,-0.182885592101059,-3.44322870287769,3.78103062443273,-0.1236687866161,1.26266378265624,1.38633256927235
P4,v3.2.0,-0.355161739828816,-2.1231852323224,3.84564846779978,-0.138605234991741,1.25029649231714,1.38890172730888
P4,v3.2.3 iter,-0.35295588592362,-3.42298354221956,3.92645249107826,-0.140700189616001,1.24589206067501,1.38659225029102
