id_plot,src,slope.all.JJAS,offset.all.JJAS,slope.day.JJAS,offset.day.JJAS,slope.night.JJAS,offset.night.JJAS,DTR.all.JJAS,equil.all.JJAS,slope.all.hot10,offset.all.hot10,slope.day.hot10,offset.day.hot10,slope.night.hot10,offset.night.hot10,DTR.all.hot10,equil.all.hot10
41_01,obs,0.891916860515774,-0.626852099309225,0.958806741864373,-1.17091769559268,0.959170224129792,0.314628229193326,9.36976229508197,13.3493164707165,0.794844408773926,-0.743487995636792,0.779984736292684,-1.63139755170776,0.894693974387181,1.39725529910354,12.7718461538462,20.4566441318392
41_01,v320,0.943551571571998,0.118337527502575,0.989776139653073,0.2254527803185,0.885202166531294,0.0297699840466083,9.66596330993302,21.2525761034412,0.944881379392279,0.0379979316972002,0.655266041733536,0.405530327726674,0.763423655059967,-0.190391206440875,14.1648167704232,24.7700489407701
41_01,v323,0.91912330333632,0.258779729983405,0.978557370737643,0.206544493769302,0.872653662269156,0.311789278729693,9.30080299109697,22.3558753125758,0.912098445020968,0.190374580301628,0.588246853063167,0.353807190896845,0.760484968488337,0.11222675862793,13.7843622716306,26.2464346141406
41_02,obs,0.927588670759983,-0.639387276904853,1.00446901484797,-0.841311138215635,0.952792739868826,0.138296261980211,10.0104180327869,10.3191036311562,0.838747134696662,-0.74619953409833,0.895766838642156,-1.12047447478468,0.838300603557108,1.17115273500098,13.5701538461538,19.4531524955276
41_02,v320,0.958390466366398,0.0633274972630149,1.00333068861145,0.255080849918401,0.893111237446183,-0.0922610859378557,9.84377719003264,20.6781398889167,0.961578473280517,0.0438188685570459,0.658124491935238,0.531671845219863,0.777165501078345,-0.29143747336512,14.4385280846893,25.221141304459
41_02,v323,0.925165216723946,0.197605412106174,0.986384483468908,0.192379319418889,0.874172374609999,0.218628380444472,9.36487042405979,21.7967487529651,0.91707137168421,0.141698008097713,0.557300379362893,0.373872971878216,0.763731520787383,0.0146991436278231,13.919844297134,25.7893384831521
41_03,obs,0.822652379404303,-0.990026962697203,0.93953029179145,-1.86587397974569,0.891439131139267,0.235659649958353,8.6498606557377,13.5666288389075,0.747311151825552,-1.39850402127782,1.00784463524373,-2.47010267991288,0.76486924115734,0.956280940129184,12.3079230769231,18.5461738109289
41_03,v320,0.927342364127343,-0.0593741461727214,0.986321321946035,-0.0872675486418769,0.869731205559758,-0.00322181223646937,9.37192956022315,18.3390161097631,0.920608686636225,-0.152085062129863,0.689216450842952,0.0286024847151677,0.757128677279808,-0.174049286413618,13.7825743609286,22.1650257060852
41_03,v323,0.899499147441279,0.0494407244154497,0.971618796138177,-0.0753277472087319,0.834285474647688,0.21989280320792,9.04290718072493,19.648136405478,0.897890127531097,-0.0849892649594275,0.572530811274457,0.0312152842613456,0.714440613152193,-0.0148677136690102,13.5142484782349,23.2483327616017
41_04,obs,0.755191329271636,-1.39884868400868,0.897421116026382,-2.68280567373476,0.880907644048982,0.163002546133217,7.58430327868852,13.4349891210542,0.642675771944031,-1.8439944058932,0.847232537920337,-3.49307703888724,0.665028513418839,1.03933222218047,10.6793076923077,18.9201006743592
41_04,v320,0.903748641788073,-0.159911306280839,0.969403460616714,-0.361516691947895,0.871642005249703,0.0304040778173159,9.0052887963467,17.4948003473437,0.889082354923253,-0.280338776417268,0.715201151079508,-0.374806722005208,0.746938823968836,-0.100559723682893,13.2827641413762,21.5532145087779
