mo,version,scenario,n,sl_r2,month,label
2021-05,v3.2.0,DYN_ALSoOPT_S2TIMING_NM,53,0.866805731923575,05,S2t.ALS/opt
2021-06,v3.2.0,DYN_ALSoOPT_S2TIMING_NM,53,0.873707055939405,06,S2t.ALS/opt
2021-07,v3.2.0,DYN_ALSoOPT_S2TIMING_NM,53,0.846307600643728,07,S2t.ALS/opt
2021-08,v3.2.0,DYN_ALSoOPT_S2TIMING_NM,53,0.872502833585788,08,S2t.ALS/opt
2021-09,v3.2.0,DYN_ALSoOPT_S2TIMING_NM,53,0.889599128934973,09,S2t.ALS/opt
2021-10,v3.2.0,DYN_ALSoOPT_S2TIMING_NM,52,0.838301512481102,10,S2t.ALS/opt
2021-11,v3.2.0,DYN_ALSoOPT_S2TIMING_NM,52,0.296273627979943,11,S2t.ALS/opt
2021-04,v3.2.0,FUSION_H,30,0.65200531374085,04,Fusion-H (layered)
2021-05,v3.2.0,FUSION_H,53,0.736329194702728,05,Fusion-H (layered)
2021-06,v3.2.0,FUSION_H,53,0.794410063481481,06,Fusion-H (layered)
2021-07,v3.2.0,FUSION_H,53,0.749794120099733,07,Fusion-H (layered)
2021-08,v3.2.0,FUSION_H,53,0.701572706099614,08,Fusion-H (layered)
2021-09,v3.2.0,FUSION_H,53,0.6975955537653,09,Fusion-H (layered)
2021-10,v3.2.0,FUSION_H,52,0.583016567867814,10,Fusion-H (layered)
2021-11,v3.2.0,FUSION_H,52,0.424979574136988,11,Fusion-H (layered)
2021-04,v3.2.0,DYN_RF,30,0.354318683282766,04,S2 RF (dyn)
2021-05,v3.2.0,DYN_RF,53,0.899247941465771,05,S2 RF (dyn)
2021-06,v3.2.0,DYN_RF,53,0.863611144279036,06,S2 RF (dyn)
2021-07,v3.2.0,DYN_RF,53,0.850449247505242,07,S2 RF (dyn)
2021-08,v3.2.0,DYN_RF,53,0.894537837090569,08,S2 RF (dyn)
2021-09,v3.2.0,DYN_RF,53,0.911804644973883,09,S2 RF (dyn)
2021-10,v3.2.0,DYN_RF,52,0.889318173361457,10,S2 RF (dyn)
2021-11,v3.2.0,DYN_RF,52,0.825971580598049,11,S2 RF (dyn)
2021-04,v3.2.0,DYN_S2_ANNUAL,30,0.753704855634104,04,S2 annual (dyn)
2021-05,v3.2.0,DYN_S2_ANNUAL,53,0.899720019206398,05,S2 annual (dyn)
2021-06,v3.2.0,DYN_S2_ANNUAL,53,0.911664136604833,06,S2 annual (dyn)
2021-07,v3.2.0,DYN_S2_ANNUAL,53,0.863647933492754,07,S2 annual (dyn)
2021-08,v3.2.0,DYN_S2_ANNUAL,53,0.871120744712217,08,S2 annual (dyn)
2021-09,v3.2.0,DYN_S2_ANNUAL,53,0.896768392434362,09,S2 annual (dyn)
2021-10,v3.2.0,DYN_S2_ANNUAL,52,0.78777917539552,10,S2 annual (dyn)
2021-11,v3.2.0,DYN_S2_ANNUAL,52,0.513778858559551,11,S2 annual (dyn)
2021-04,v3.2.0,CONST_ALS,30,0.586970854221688,04,LiDAR const
2021-05,v3.2.0,CONST_ALS,53,0.889313176828735,05,LiDAR const
2021-06,v3.2.0,CONST_ALS,53,0.879061282405405,06,LiDAR const
2021-07,v3.2.0,CONST_ALS,53,0.870174758659429,07,LiDAR const
2021-08,v3.2.0,CONST_ALS,53,0.895992121113922,08,LiDAR const
