metric,version,r,R2,RMSE,MAE,bias,r_lo,r_hi,n
dTmax_all,v3.2.0,0.93087344441992,0.866525369526206,1.46956428934463,1.32932029010796,0.922406067394226,0.879852517018493,0.965905610372297,53
dTmax_all,v3.2.3 iter,0.633268131516442,0.401028526394325,1.66783876506012,1.40823331501115,0.61089798985504,0.568194857265174,0.718868359740927,53
dTmax_hot,v3.2.0,0.864718122399905,0.747737431206817,2.06075508639543,1.92416569379906,1.56336520534562,0.762825228930314,0.928140178642262,53
dTmax_hot,v3.2.3 iter,0.568714215585037,0.323435859008504,2.11508248996455,1.86257095202596,1.1007399714168,0.477971928565519,0.687246132202591,53
slope_all,v3.2.0,0.959617328909119,0.920865417942671,0.14387303522399,0.128423436653523,0.0819870883002371,0.929890309560473,0.979341335295705,53
slope_all,v3.2.3 iter,0.782682717523145,0.612592236309416,0.136844425926069,0.106763852932505,0.0298282378971906,0.723482773714263,0.84815126408231,53
slope_hot,v3.2.0,0.932750648916569,0.87002377305428,0.222102613519671,0.202533854644744,0.133013547651297,0.881592863422257,0.964670977801153,53
slope_hot,v3.2.3 iter,0.710588195945722,0.504935584217396,0.223736546993964,0.190567205198466,0.0845629931964943,0.648158446140662,0.784175894171624,53
