version,scenario,metric,period,rmse,r,bias,n,label,fam
v3.2.0,DYN_S2_ANNUAL,dTmax,all,2.05511071920581,0.648149311597024,1.03029453046244,6459,S2 annual (dyn),S2
v3.2.0,DYN_S2_ANNUAL,slope,all,0.144243645713623,0.953956656171385,0.0657399367860798,53,S2 annual (dyn),S2
v3.2.0,DYN_S2_ANNUAL,dTmax,hot,2.38131065305388,0.715446487116193,1.60588815007316,689,S2 annual (dyn),S2
v3.2.0,DYN_S2_ANNUAL,slope,hot,0.222577011648621,0.921961196725408,0.104063147528028,53,S2 annual (dyn),S2
v3.2.0,CONST_ALS,dTmax,all,1.99928248675768,0.689566470732154,0.998463489348539,6459,LiDAR const,LiDAR
v3.2.0,CONST_ALS,slope,all,0.143321528005447,0.951062177463433,0.0647010193975061,53,LiDAR const,LiDAR
v3.2.0,CONST_ALS,dTmax,hot,2.33303434139459,0.75431054811318,1.58499802662546,689,LiDAR const,LiDAR
v3.2.0,CONST_ALS,slope,hot,0.22063942431731,0.91192580309081,0.104090536008595,53,LiDAR const,LiDAR
v3.2.0,NAIVE_S2_FORMSH,dTmax,all,2.17504248516367,0.588637762271344,1.22674905321906,6459,S2 naive,S2
v3.2.0,NAIVE_S2_FORMSH,slope,all,0.154387748882785,0.784205478758127,0.0946963912747675,53,S2 naive,S2
v3.2.0,NAIVE_S2_FORMSH,dTmax,hot,2.70512917015811,0.633260841937453,2.03545419599195,689,S2 naive,S2
v3.2.0,NAIVE_S2_FORMSH,slope,hot,0.233197795026817,0.759137282700257,0.140841919455258,53,S2 naive,S2
v3.2.3 iter,STATIC_ALS,dTmax,all,2.16285638929929,0.399026923044072,0.627394780552339,6459,LiDAR full,LiDAR
v3.2.3 iter,STATIC_ALS,slope,all,0.139291710975615,0.791750342499343,0.00649562394211039,53,LiDAR full,LiDAR
v3.2.3 iter,STATIC_ALS,dTmax,hot,2.34641863096054,0.496804502700379,1.07159951324539,689,LiDAR full,LiDAR
v3.2.3 iter,STATIC_ALS,slope,hot,0.218896119740777,0.732053510002613,0.0424182290923237,53,LiDAR full,LiDAR
v3.2.3 iter,STATIC_ALS_DOPT,dTmax,all,2.44910620340811,-0.0198005969252658,0.999650988290863,6459,LiDAR d_opt,LiDAR
v3.2.3 iter,STATIC_ALS_DOPT,slope,all,0.189342620550327,0.390805002729975,0.0709239816942866,53,LiDAR d_opt,LiDAR
v3.2.3 iter,STATIC_ALS_DOPT,dTmax,hot,2.75326717907248,-0.0209656814614017,1.47377124190868,689,LiDAR d_opt,LiDAR
v3.2.3 iter,STATIC_ALS_DOPT,slope,hot,0.263793380953534,0.335393240852862,0.0969223394509562,53,LiDAR d_opt,LiDAR
v3.2.3 iter,DYN_S2_ATBD_NM,dTmax,all,2.28282083875396,0.306584383141339,0.823965196777168,6459,S2 ATBD,S2
v3.2.3 iter,DYN_S2_ATBD_NM,slope,all,0.149842549060635,0.870080097049108,0.029467833220618,53,S2 ATBD,S2
v3.2.3 iter,DYN_S2_ATBD_NM,dTmax,hot,2.57102809164696,0.45014741264302,1.38077781543217,689,S2 ATBD,S2
v3.2.3 iter,DYN_S2_ATBD_NM,slope,hot,0.228008409372694,0.832455538175274,0.0649569707297945,53,S2 ATBD,S2
v3.2.3 iter,DYN_S2_OPT_NM,dTmax,all,2.3274911869822,0.254697990566971,0.885905856281565,6459,S2 opt,S2
v3.2.3 iter,DYN_S2_OPT_NM,slope,all,0.15608383413412,0.857724142726906,0.0374935568180325,53,S2 opt,S2
v3.2.3 iter,DYN_S2_OPT_NM,dTmax,hot,2.64258944431853,0.387239842430182,1.45728458562577,689,S2 opt,S2
v3.2.3 iter,DYN_S2_OPT_NM,slope,hot,0.233755804388251,0.823788465828048,0.0712861840368694,53,S2 opt,S2
v3.2.3 iter,DYN_ATBD_rfull_NM,dTmax,all,2.37184591140712,0.200722127371532,0.944482865844796,6459,S2 ATBD x->full,S2
v3.2.3 iter,DYN_ATBD_rfull_NM,slope,all,0.164623140163795,0.861036030477837,0.0476274306937098,53,S2 ATBD x->full,S2
v3.2.3 iter,DYN_ATBD_rfull_NM,dTmax,hot,2.71856863169155,0.259665802154558,1.52885227854575,689,S2 ATBD x->full,S2
v3.2.3 iter,DYN_ATBD_rfull_NM,slope,hot,0.241563653241162,0.811696938804136,0.0789161440494948,53,S2 ATBD x->full,S2
v3.2.3 iter,DYN_OPT_rdopt_NM,dTmax,all,2.43914763541106,0.0491923481730608,1.01700223858997,6459,S2 opt x->d_opt,S2
v3.2.3 iter,DYN_OPT_rdopt_NM,slope,all,0.192652942638237,0.652542524704966,0.0790055815315375,53,S2 opt x->d_opt,S2
v3.2.3 iter,DYN_OPT_rdopt_NM,dTmax,hot,2.72510397897033,0.110966245728653,1.48044017852009,689,S2 opt x->d_opt,S2
v3.2.3 iter,DYN_OPT_rdopt_NM,slope,hot,0.265369747917443,0.534992627608569,0.102576487801158,53,S2 opt x->d_opt,S2
v3.2.3 iter,DYN_ALS_S2TIMING_NM,dTmax,all,2.29871457744509,0.230444075294244,0.787295540161462,6459,S2t.ALS/ATBD,Fusion
v3.2.3 iter,DYN_ALS_S2TIMING_NM,slope,all,0.151688019520698,0.795331497315216,0.0276555883050189,53,S2t.ALS/ATBD,Fusion
v3.2.3 iter,DYN_ALS_S2TIMING_NM,dTmax,hot,2.55603445703272,0.340463347735084,1.2860964732558,689,S2t.ALS/ATBD,Fusion
v3.2.3 iter,DYN_ALS_S2TIMING_NM,slope,hot,0.231608285105308,0.762200266432414,0.0600231278752136,53,S2t.ALS/ATBD,Fusion
v3.2.3 iter,DYN_ALSoOPT_S2TIMING_NM,dTmax,all,2.23681724045569,0.292613434209566,0.688020741298992,6459,S2t.ALS/opt,Fusion
v3.2.3 iter,DYN_ALSoOPT_S2TIMING_NM,slope,all,0.145116437534152,0.782965684810745,0.0169403774708972,53,S2t.ALS/opt,Fusion
v3.2.3 iter,DYN_ALSoOPT_S2TIMING_NM,dTmax,hot,2.45362740843199,0.384392914104222,1.15456491126878,689,S2t.ALS/opt,Fusion
v3.2.3 iter,DYN_ALSoOPT_S2TIMING_NM,slope,hot,0.224377829823762,0.734833180166536,0.0500736158266076,53,S2t.ALS/opt,Fusion
v3.2.3 iter,FUSION_H,dTmax,all,2.15225578502112,0.405075918051256,0.679778972958165,6459,Fusion-H (layered),Fusion
v3.2.3 iter,FUSION_H,slope,all,0.13314843228865,0.845261271084642,0.0174842808801208,53,Fusion-H (layered),Fusion
v3.2.3 iter,FUSION_H,dTmax,hot,2.36308209658089,0.485151592995806,1.16864519441243,689,Fusion-H (layered),Fusion
v3.2.3 iter,FUSION_H,slope,hot,0.211120837685559,0.810345001390156,0.052256238131692,53,Fusion-H (layered),Fusion
v3.2.3 iter,DYN_RF,dTmax,all,2.2223506571883,0.346825117823478,0.697393321023972,6459,S2 RF (dyn),S2
v3.2.3 iter,DYN_RF,slope,all,0.146304341516362,0.803426325330602,0.0170022481144721,53,S2 RF (dyn),S2
v3.2.3 iter,DYN_RF,dTmax,hot,2.45663769206978,0.469489378774063,1.19225426358562,689,S2 RF (dyn),S2
v3.2.3 iter,DYN_RF,slope,hot,0.228006521231239,0.752217920650746,0.0542853049774124,53,S2 RF (dyn),S2
v3.2.3 iter,DYN_S2_ANNUAL,dTmax,all,2.22641382581748,0.27033007811562,0.633888458905489,6459,S2 annual (dyn),S2
v3.2.3 iter,DYN_S2_ANNUAL,slope,all,0.142913978323898,0.773105508824608,0.0133549385943877,53,S2 annual (dyn),S2
v3.2.3 iter,DYN_S2_ANNUAL,dTmax,hot,2.44371046897663,0.321223171541859,1.09889155811383,689,S2 annual (dyn),S2
v3.2.3 iter,DYN_S2_ANNUAL,slope,hot,0.221931710942881,0.73137375904213,0.0467303533094971,53,S2 annual (dyn),S2
v3.2.3 iter,CONST_ALS,dTmax,all,2.17294178548733,0.389134199769662,0.638776388460796,6459,LiDAR const,LiDAR
v3.2.3 iter,CONST_ALS,slope,all,0.142553241858272,0.786596491764346,0.0124283343228435,53,LiDAR const,LiDAR
v3.2.3 iter,CONST_ALS,dTmax,hot,2.37141359506828,0.486141169526403,1.10344554871562,689,LiDAR const,LiDAR
v3.2.3 iter,CONST_ALS,slope,hot,0.223550783685807,0.718741272669714,0.0492781400779102,53,LiDAR const,LiDAR
v3.2.3 iter,NAIVE_S2_FORMSH,dTmax,all,2.33985335225348,0.31435155174872,1.00574923044383,6459,S2 naive,S2
v3.2.3 iter,NAIVE_S2_FORMSH,slope,all,0.153589421556653,0.901352235503421,0.0429655903652363,53,S2 naive,S2
v3.2.3 iter,NAIVE_S2_FORMSH,dTmax,hot,2.74841168042004,0.474380557841063,1.72652858624753,689,S2 naive,S2
v3.2.3 iter,NAIVE_S2_FORMSH,slope,hot,0.237235997939986,0.825186636763469,0.0856497135311986,53,S2 naive,S2
